,formatted_address
457,"8400 Champoeg Rd NE, St Paul, OR 97137, USA"
458,"13945 OR-22, Dallas, OR 97338, USA"
459,"16425 SE Webfoot Rd, Dayton, OR 97114, USA"
460,"708 Oak St, Hood River, OR 97031, USA"
461,"1900 Orchard Rd, Hood River, OR 97031, USA"
462,"3336 SE Amity Dayton Hwy, Amity, OR 97101, USA"
463,"8877 Nonpareil Rd, Sutherlin, OR 97479, USA"
464,"20980 NE Niederberger Rd, Dundee, OR 97115, USA"
465,"4153 Hood Rd, Walla Walla, WA 99362, USA"
466,"11931 SE Hood View Rd, Amity, OR 97101, USA"
467,"8555 OR-238, Jacksonville, OR 97530, USA"
468,"442 Kramer Rd, Underwood, WA 98651, USA"
469,"10100 NW Meadowlake Rd, Carlton, OR 97111, USA"
470,"341 Kollock Knapp Rd, Underwood, WA 98651, USA"
471,"623 E 2nd St, The Dalles, OR 97058, USA"
472,"820 Elm St, Forest Grove, OR 97116, USA"
473,"125 S 3rd St, Jacksonville, OR 97530, USA"
474,"4451 NW Hill Rd, McMinnville, OR 97128, USA"
475,"203 E Main St, Talent, OR 97540, USA"
476,"8200 NE Worden Hill Rd, Dundee, OR 97115, USA"
477,"25974 OR-36, Cheshire, OR 97419, USA"
478,"13546 NW Willis Rd, McMinnville, OR 97128, USA"
479,"1937 Main St, Baker City, OR 97814, USA"
480,"2310 Voorhies Rd, Medford, OR 97501, USA"
481,"10052 Enchanted Way SE, Jefferson, OR 97352, USA"
482,"30790 SW Heater Rd, Sherwood, OR 97140, USA"
483,"18420 NE Dopp Rd, Newberg, OR 97132, USA"
484,"125 W Main St, Carlton, OR 97111, USA"
485,"475 NE 17th St, McMinnville, OR 97128, USA"
486,"17090 NE Woodland Loop Rd, Yamhill, OR 97148, USA"
487,"4210 Holland Loop Rd, Cave Junction, OR 97523, USA"
488,"10481 Cook-Underwood Rd, Underwood, WA 98651, USA"
489,"85530 OR-11, Milton-Freewater, OR 97862, USA"
490,"18380 NE Buena Vista Dr, Dundee, OR 97115, USA"
491,"Loop de Loop Wines, 451 Kramer Rd, Underwood, WA 98651, USA"
492,"707 Hess Ln, Roseburg, OR 97471, USA"
493,"22251 NE Laughlin Rd, Gaston, OR 97119, USA"
494,"1425 Humbug Creek Rd, Jacksonville, OR 97530, USA"
495,"17205 NE Dopp Rd, Newberg, OR 97132, USA"
496,"3053 Russell Creek Rd, Walla Walla, WA 99362, USA"
497,"818 Slagle Creek Rd, Grants Pass, OR 97527, USA"
498,"5920 Flournoy Valley Rd, Roseburg, OR 97471, USA"
499,"12956 Modoc Rd, White City, OR 97503, USA"
500,"28385 NE Bell Rd, Newberg, OR 97132, USA"
501,"7111 Spring Valley Rd NW, Salem, OR 97304, USA"
502,"5917 Orchard Heights Rd NW, Salem, OR 97304, USA"
503,"1395 River Dr, Elkton, OR 97436, USA"
504,"577 Mode Rd, Umpqua, OR 97486, USA"
505,"170 Lyle Snowden Rd, Lyle, WA 98635, USA"
506,"21101 SE Cherry Blossom Ln, Amity, OR 97101, USA"
507,"46350 NW David Hill Rd, Forest Grove, OR 97116, USA"
508,"240 Vineyard Ln, Roseburg, OR 97471, USA"
509,"210 Oak St, Hood River, OR 97031, USA"
510,"671 W Columbia Way, Vancouver, WA 98660, USA"
511,"5900 Zena Rd NW, Salem, OR 97304, USA"
512,"2143 Wells Dr, Hood River, OR 97031, USA"
513,"810 OR-99W, Dundee, OR 97115, USA"
514,"86187 Hoya Ln, Eugene, OR 97405, USA"
515,"31190 NE Veritas Ln, Newberg, OR 97132, USA"
516,"6060 Bethel Heights Rd NW, Salem, OR 97304, USA"
517,"89697 Sheffler Rd, Elmira, OR 97437, USA"
518,"325 2nd St, Elkton, OR 97436, USA"
519,"22185 SW Lebeau Rd, Sherwood, OR 97140, USA"
520,"21160 OR-99W, Dundee, OR 97115, USA"
521,"1439 NW Marshall St, Portland, OR 97209, USA"
522,"19500 SW Mountain Home Rd, Sherwood, OR 97140, USA"
523,"9110 N Applegate Rd, Grants Pass, OR 97527, USA"
524,"305 Melrose Rd, Roseburg, OR 97471, USA"
525,"3131 S 3rd Ave, Walla Walla, WA 99362, USA"
526,"5600 NE 175th Cir, Vancouver, WA 98686, USA"
527,"700 C St, Walla Walla, WA 99362, USA"
528,"75049 Snow Rd, Echo, OR 97826, USA"
529,"Vitae Springs, Oregon 97306, USA"
530,"8905 NE Worden Hill Rd, Dundee, OR 97115, USA"
531,"27411 SW Campbell Ln, West Linn, OR 97068, USA"
532,"225 Vineyard Ln, Walla Walla, WA 99362, USA"
533,"14000 NE Quarry Rd, Newberg, OR 97132, USA"
534,"17971 NE Lewis Rogers Ln, Newberg, OR 97132, USA"
535,"20120 NE Herring Ln, Newberg, OR 97132, USA"
536,"300 NE 3rd St, McMinnville, OR 97128, USA"
537,"83872 Don Carlo Way, Milton-Freewater, OR 97862, USA"
538,"660 Waterfront Wy, Vancouver, WA 98660, USA"
539,"9325 NE Worden Hill Rd, Dundee, OR 97115, USA"
540,"9374 Sunnyview Rd NE, Salem, OR 97317, USA"
541,"4855 SE 18th Ave, Portland, OR 97202, USA"
542,"1389 Old Garden Valley Rd, Roseburg, OR 97471, USA"
543,"750 W Lincoln St, Carlton, OR 97111, USA"
544,"18748 NE Laughlin Rd, Yamhill, OR 97148, USA"
545,"8000 NE Parrish Rd, Newberg, OR 97132, USA"
546,"422 King Rd, Underwood, WA 98651, USA"
547,"8467 Highway 30 West, Mosier, OR 97040, USA"
548,"6036 Orchard Heights Rd NW, Salem, OR 97304, USA"
549,"12020 NE Stag Hollow Rd, Carlton, OR 97111, USA"
550,"1248 Old Milton Hwy, Walla Walla, WA 99362, USA"
551,"3827 Fletcher Dr, Hood River, OR 97031, USA"
552,"858 Cleveland Hill Rd, Roseburg, OR 97471, USA"
553,"16435 NE Lewis Rogers Ln, Newberg, OR 97132, USA"
554,"6905 Spring Valley Rd NW, Salem, OR 97304, USA"
555,"1065 NE Alpine Ave, McMinnville, OR 97128, USA"
556,"Milton-Freewater, OR 97862, USA"
557,"13531 Bursell Rd, Dallas, OR 97338, USA"
558,"14725 NE Quarry Rd, Newberg, OR 97132, USA"
559,"55 S State St Suite 3105, Lake Oswego, OR 97034, USA"
560,"26 E Main St, Walla Walla, WA 99362, USA"
561,"2335 N Phoenix Rd, Medford, OR 97504, USA"
562,"528 NE 3rd St, McMinnville, OR 97128, USA"
563,"19822 McKillop Rd, Scotts Mills, OR 97375, USA"
564,"12777 Bursell Rd, Dallas, OR 97338, USA"
565,"1793 J B George Rd, Walla Walla, WA 99362, USA"
566,"3890 Acree Dr, Hood River, OR 97031, USA"
567,"4525 SE Division St, Portland, OR 97206, USA"
568,"1731 Pheasant Ct, Philomath, OR 97370, USA"
569,"25357 High Pass Rd, Junction City, OR 97448, USA"
570,"4122 Powerline Rd, Walla Walla, WA 99362, USA"
571,"315 E Cessna Ave, Walla Walla, WA 99362, USA"
572,"21000 SW Eagle Point Rd, McMinnville, OR 97128, USA"
573,"311 Oak St #2181, Hood River, OR 97031, USA"
574,"27007 Briggs Hill Rd, Eugene, OR 97405, USA"
575,"9730 OR-238, Jacksonville, OR 97530, USA"
576,"18323 NE Fairview Dr, Dundee, OR 97115, USA"
577,"12770 S Casto Rd, Oregon City, OR 97045, USA"
578,"Newberg, OR 97132, USA"
579,"1564 Whiteley Rd, Walla Walla, WA 99362, USA"
580,"81768 S Fork Walla Walla River Rd, Milton-Freewater, OR 97862, USA"
581,"810 Applegate St, Philomath, OR 97370, USA"
582,"450 Rosemont Rd, West Linn, OR 97068, USA"
583,"178 Vineyard Ln, Walla Walla, WA 99362, USA"
584,"4225 N Pacific Hwy W, Rickreall, OR 97371, USA"
585,"2920 NW Scenic Dr, Albany, OR 97321, USA"
586,"80520 Old Lorane Rd, Eugene, OR 97405, USA"
587,"3663 SW Dilley Rd, Forest Grove, OR 97116, USA"
588,"13005 Jerusalem Hill Rd NW, Salem, OR 97304, USA"
589,"26830 NW Olson Rd, Gaston, OR 97119, USA"
590,"168 S Pine St, Carlton, OR 97111, USA"
591,"33155 SW Riedweg Rd, Cornelius, OR 97113, USA"
592,"8795 NE Worden Hill Rd, Dundee, OR 97115, USA"
593,"54211 County 552 Rd, Milton-Freewater, OR 97862, USA"
594,"27012 Briggs Hill Rd, Eugene, OR 97405, USA"
595,"27751 NW Olson Rd, Gaston, OR 97119, USA"
596,"5475 River Rd S, Salem, OR 97302, USA"
597,"5430 NE Breyman Orchards Rd, Dayton, OR 97114, USA"
598,"1000 Azalea Dr, Elkton, OR 97436, USA"
599,"907 W 3rd Ave, Eugene, OR 97402, USA"
600,"6451 NE Hilltop Ln, Dayton, OR 97114, USA"
601,"6555 NE Hilltop Ln, Dayton, OR 97114, USA"
602,"3336 SE Amity Dayton Hwy, Amity, OR 97101, USA"
603,"2608 E Evergreen Blvd, Vancouver, WA 98661, USA"
604,"11603 S New Era Rd, Oregon City, OR 97045, USA"
605,"2795 Ballard Rd, Dallas, OR 97338, USA"
606,"3275 Ballard Rd, Dallas, OR 97338, USA"
607,"11920 US-12, Lowden, WA 99360, USA"
608,"304 Oak St, Hood River, OR 97031, USA"
609,"24757 Lavell Rd, Junction City, OR 97448, USA"
610,"52 N River Rd, Gold Hill, OR 97525, USA"
611,"16031 SW Pleasant Hill Rd, Sherwood, OR 97140, USA"
612,"14580 NE 145th St, Woodinville, WA 98072, USA"
613,"1000 Upper Applegate Rd, Jacksonville, OR 97530, USA"
614,"111 E Jewett Blvd, White Salmon, WA 98672, USA"
615,"8355 NE Warren Rd, Dundee, OR 97115, USA"
616,"17627 Abiqua Rd NE, Silverton, OR 97381, USA"
617,"23924 Territorial Rd, Monroe, OR 97456, USA"
618,"448 NE 3rd St, McMinnville, OR 97128, USA"
619,"9800 OR-238, Jacksonville, OR 97530, USA"
620,"235 E Broadway Ave #1807, Milton-Freewater, OR 97862, USA"
621,"34948 S Barlow Rd, Woodburn, OR 97071, USA"
622,"184 Missouri Flat Rd, Grants Pass, OR 97527, USA"
623,"687 Hubbard Creek Rd, Umpqua, OR 97486, USA"
624,"935 NE 10th Ave, McMinnville, OR 97128, USA"
625,"1122 Suncrest Rd, Talent, OR 97540, USA"
626,"2995 Michigan City Ln NW, Salem, OR 97304, USA"
627,"189 Ankeny Hill Rd SE A, Jefferson, OR 97352, USA"
628,"4180 Lone Star Rd NW, Salem, OR 97304, USA"
629,"175 Hogan Rd, Oakland, OR 97462, USA"
630,"3890 Acree Dr, Hood River, OR 97031, USA"
631,"1111 Abadie St, Walla Walla, WA 99362, USA"
632,"3336 SE Amity Dayton Hwy, Amity, OR 97101, USA"
633,"2303 N Harding Ave, Portland, OR 97227, USA"
634,"By Appointment Only, 15155 NE North Valley Rd, Newberg, OR 97132, USA"
635,"27415 Siuslaw Rd, Lorane, OR 97451, USA"
636,"9605 NE Fox Farm Rd, Dundee, OR 97115, USA"
637,"1242 SE Maple St, Dundee, OR 97115, USA"
