name,business_status,place_id,formatted_phone_number,formatted_address,url,website,rating,user_ratings_total,street_address,city,province,zipcode,country,location_name
Iris Vineyards Production,OPERATIONAL,ChIJ58mJ404xwVQRiuC6g9eryXc,(541) 942-5993,"195 E Palmer Ave, Cottage Grove, OR 97424, USA",https://maps.google.com/?cid=8631619102948647050,http://www.irisvineyards.com/,4.5,2,195 E Palmer Ave, Cottage Grove,OR,97424, USA,
Abeja Winery & Inn,OPERATIONAL,ChIJkyxxY34VolQRcaxvXcqbfg0,(509) 526-7400,"2016 Mill Creek Rd, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=972385863011904625,http://www.abeja.net/,5,43,2016 Mill Creek Rd, Walla Walla,WA,99362, USA,
Nicolas-Jay,OPERATIONAL,ChIJvcqlCJM_lVQRlVAiOhWcvfc,(971) 412-1124,"11905 NE Dudley Rd, Newberg, OR 97132, USA",https://maps.google.com/?cid=17851596112950087829,http://www.nicolas-jay.com/,5,18,11905 NE Dudley Rd, Newberg,OR,97132, USA,
Cleveland Hill Vineyard,OPERATIONAL,ChIJM8-_ggkXxFQR_HUPSl6d6no,(541) 784-5203,"858 Cleveland Hill Rd, Roseburg, OR 97471, USA",https://maps.google.com/?cid=8857064645472515580,http://www.bestfishingdrone.com/,,,858 Cleveland Hill Rd, Roseburg,OR,97471, USA,
Southwind Vineyard,OPERATIONAL,ChIJKXmvGNFbolQRry1yKwYHNfM,,"Milton-Freewater, OR 97862, USA",https://maps.google.com/?cid=17524921248062254511,,,,,Milton-Freewater,OR,97862, USA,
Huston Vineyards,OPERATIONAL,ChIJo94fKvPKr1QRU_IoqdcqWy0,(208) 455-7975,"16473 Chicken Dinner Rd, Caldwell, ID 83607, USA",https://maps.google.com/?cid=3268253060331795027,https://hustonvineyards.com/,4.7,128,16473 Chicken Dinner Rd, Caldwell,ID,83607, USA,
Dowsett Family Winery,OPERATIONAL,ChIJcaDn50gVolQRyilMnYgQfSA,(509) 520-8215,"315 E Cessna Ave, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=2341045560243136970,http://www.dowsettwines.com/,5,1,315 E Cessna Ave, Walla Walla,WA,99362, USA,
Meadows Estate Vineyard & Winery,OPERATIONAL,ChIJve2F2-CvxlQR71pSCHG3zc8,(541) 315-3004,"175 Hogan Rd, Oakland, OR 97462, USA",https://maps.google.com/?cid=14973826032175569647,https://www.meadowsestatewinery.com/,5,9,175 Hogan Rd, Oakland,OR,97462, USA,
Wannamaker Estate Vineyard,OPERATIONAL,ChIJnWx_ltkNllQRk6RidCeS5gc,(503) 914-8883,"271 Auspland Dr, Underwood, WA 98651, USA",https://maps.google.com/?cid=569303101062947987,http://www.wannamakerestatevineyard.com/,,,271 Auspland Dr, Underwood,WA,98651, USA,
Compton Family Winery,OPERATIONAL,ChIJaTnDY41HwFQR-TUbi97kJ98,(541) 929-6555,"810 Applegate St, Philomath, OR 97370, USA",https://maps.google.com/?cid=16080072639017334265,http://www.comptonwines.com/,4.9,64,810 Applegate St, Philomath,OR,97370, USA,
Copper Belt Wines,OPERATIONAL,ChIJC8FEpTHppFQRxUVfOt0xZvk,(541) 519-0949,"1937 Main St, Baker City, OR 97814, USA",https://maps.google.com/?cid=17971106189305398725,http://www.copperbeltwinery.com/,4.9,29,1937 Main St, Baker City,OR,97814, USA,
J Wrigley Vineyards,OPERATIONAL,ChIJH5hqgbuz6lQRAlU-UUdpdXc,(503) 857-8287,"19391 Cherry Hill Rd, Sheridan, OR 97378, USA",https://maps.google.com/?cid=8607902017815205122,http://www.wrigleywines.com/,4.9,81,19391 Cherry Hill Rd, Sheridan,OR,97378, USA,
Stardance Vineyards,OPERATIONAL,ChIJKcYu1Ws7lVQR0lNN1vEcQsA,(503) 662-4217,"24260 NW Turner Creek Rd, Yamhill, OR 97148, USA",https://maps.google.com/?cid=13853667228753155026,http://stardancevineyards.com/,,,24260 NW Turner Creek Rd, Yamhill,OR,97148, USA,
Triple Oak Wine Vault,OPERATIONAL,ChIJS0gyItKnxlQRvbp71fZyR8g,(541) 743-1885,"137 Locust St, Oakland, OR 97462, USA",https://maps.google.com/?cid=14431629935401220797,http://tripleoakwinevault.com/,4.8,13,137 Locust St, Oakland,OR,97462, USA,
Phelps Creek Tasting Room,OPERATIONAL,ChIJk8AyJCMJllQR5nx396gJhgc,(541) 386-2607,"301 Country Club Rd, Hood River, OR 97031, USA",https://maps.google.com/?cid=542131426455682278,http://www.phelpscreekvineyards.com/,4.8,161,301 Country Club Rd, Hood River,OR,97031, USA,
Compris Vineyard,OPERATIONAL,ChIJqWJnw1kVlVQRsxOCFStREcs,(503) 538-4092,"17425 NE Hillside Dr, Newberg, OR 97132, USA",https://maps.google.com/?cid=14632565909789742003,http://www.comprisvineyard.com/,4.7,31,17425 NE Hillside Dr, Newberg,OR,97132, USA,
Ankeny Vineyard,OPERATIONAL,ChIJQ-q0Y_AFwFQRUKBaxxj1QXk,(503) 378-1498,"2565 Riverside Dr S, Salem, OR 97306, USA",https://maps.google.com/?cid=8737534238848098384,http://www.ankenyvineyard.com/,4.7,158,2565 Riverside Dr S, Salem,OR,97306, USA,
Roshni Vineyard,OPERATIONAL,ChIJsaMyzeNJlVQRXL9vvq15duY,(971) 237-3781,"13101 NW Fox Ridge Rd, McMinnville, OR 97128, USA",https://maps.google.com/?cid=16606594463106580316,https://roshnivineyard.com/,5,2,13101 NW Fox Ridge Rd, McMinnville,OR,97128, USA,
Long Shadows Winery,OPERATIONAL,ChIJg-mkDu9oolQReJMO_6r0zOg,(509) 526-0905,"1604 Frenchtown Rd, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=16775051727309017976,http://www.longshadows.com/,4.7,79,1604 Frenchtown Rd, Walla Walla,WA,99362, USA,
Dominio IV Wines,OPERATIONAL,ChIJ-3NYYMJIlVQRVHh3ddXKYZ8,(971) 261-7781,"11570 NE Intervale Rd, Carlton, OR 97111, USA",https://maps.google.com/?cid=11484683542919084116,http://www.dominiowines.com/,4.9,69,11570 NE Intervale Rd, Carlton,OR,97111, USA,
Flâneur Wines,OPERATIONAL,ChIJ5fhwQ2I4lVQRphdyVnYkmUA,(503) 899-4120,"168 S Pine St, Carlton, OR 97111, USA",https://maps.google.com/?cid=4654791780539176870,https://www.flaneurwines.com/,4.5,42,168 S Pine St, Carlton,OR,97111, USA,
12th & Maple Wine Co,OPERATIONAL,ChIJQaTQ6gxBlVQRGMITAAYqZ6U,(503) 538-7724,"1242 SE Maple St, Dundee, OR 97115, USA",https://maps.google.com/?cid=11918541144118772248,http://www.12mwc.com/,4.8,10,1242 SE Maple St, Dundee,OR,97115, USA,
Methven Family Vineyards,OPERATIONAL,ChIJRatAJyxOlVQRa1sAj8gtcw8,(503) 868-7259,"11400 SE Westland Ln, Dayton, OR 97114, USA",https://maps.google.com/?cid=1113283872306518891,http://www.methvenfamilyvineyards.com/,4.9,34,11400 SE Westland Ln, Dayton,OR,97114, USA,
Domaine Roy & fils,OPERATIONAL,ChIJYRcWWxpBlVQR--h_JRvzM68,(503) 687-2600,"8351 NE Worden Hill Rd, Dundee, OR 97115, USA",https://maps.google.com/?cid=12624701478368438523,http://www.domaineroy.com/,4.7,90,8351 NE Worden Hill Rd, Dundee,OR,97115, USA,
RainSong Vineyard,OPERATIONAL,ChIJ56rX5tIAwVQRmyVqDcZWHKo,(541) 998-1786,"92989 Templeton Rd, Cheshire, OR 97419, USA",https://maps.google.com/?cid=12257767694424221083,http://rainsongvineyard.com/,4.9,7,92989 Templeton Rd, Cheshire,OR,97419, USA,
Lexème Wines,OPERATIONAL,ChIJqWMMtbRXwVQRS9LGoRP-Ukk,(541) 802-6016,"325 2nd St, Elkton, OR 97436, USA",https://maps.google.com/?cid=5283564673131008587,http://lexemewines.com/,5,6,325 2nd St, Elkton,OR,97436, USA,
"The Bramble, Silas Wines Tasting Room",OPERATIONAL,ChIJr7IS6pFNlVQRpCokpT1khU8,(503) 389-8682,"100 5th St, Amity, OR 97101, USA",https://maps.google.com/?cid=5730096316825217700,https://www.silaswines.com/,5,21,100 5th St, Amity,OR,97101, USA,
Iterum Wines,OPERATIONAL,ChIJ1UjYcdOr6lQRxWbO06g1SmE,(503) 209-1257,"5917 Orchard Heights Rd NW, Salem, OR 97304, USA",https://maps.google.com/?cid=7010474769179895493,https://iterumwines.com/,,,5917 Orchard Heights Rd NW, Salem,OR,97304, USA,
Grizzly Peak Winery,OPERATIONAL,ChIJ1ei999hyz1QRXmFqtR6TDYw,(541) 482-5700,"1600 E Nevada St, Ashland, OR 97520, USA",https://maps.google.com/?cid=10091884100109099358,https://grizzlypeakwinery.com/,4.8,49,1600 E Nevada St, Ashland,OR,97520, USA,
Longplay Wine,OPERATIONAL,ChIJB3rkytNBlVQRJeGnnZKdTpc,(503) 482-8483,"888 Industrial Pkwy, Newberg, OR 97132, USA",https://maps.google.com/?cid=10902825000946360613,http://www.longplaywine.com/,5,7,888 Industrial Pkwy, Newberg,OR,97132, USA,
Burnsini Vineyards,OPERATIONAL,ChIJJf--v1TF0lQR8YqJqv15KMM,(530) 227-5605,"19535 Hammers Ln, Cottonwood, CA 96022, USA",https://maps.google.com/?cid=14062623966859201265,https://burnsini.com/,4.9,26,19535 Hammers Ln, Cottonwood,CA,96022, USA,
Maysara Winery,OPERATIONAL,ChIJMRYV56ZMlVQRq_z7DoE-utQ,(503) 843-1234,"15765 SW Muddy Valley Rd, McMinnville, OR 97128, USA",https://maps.google.com/?cid=15328633005732002987,https://www.maysara.com/contact,4.5,78,15765 SW Muddy Valley Rd, McMinnville,OR,97128, USA,
Quailhurst Vineyard Estate,OPERATIONAL,ChIJ6ZaKXnJslVQRyqOp9GlI4PE,,"16031 SW Pleasant Hill Rd, Sherwood, OR 97140, USA",https://maps.google.com/?cid=17429010177837343690,http://www.quailhurstwines.com/,4.4,12,16031 SW Pleasant Hill Rd, Sherwood,OR,97140, USA,
Hawkins Cellars WA,OPERATIONAL,ChIJ96FgVUcMllQRfcS4ZgR5N5A,(503) 505-4359,"10401 Cook-Underwood Rd, Underwood, WA 98651, USA",https://maps.google.com/?cid=10391907724990923901,https://hawkinscellars.com/wine-tasting-room-underwood-washington/,4.7,46,10401 Cook-Underwood Rd, Underwood,WA,98651, USA,
Evesham Wood Vineyard,OPERATIONAL,ChIJrQ_vQXpVlVQRIVpP-FSvDQ4,(503) 371-8478,"3795 Wallace Rd NW, Salem, OR 97304, USA",https://maps.google.com/?cid=1012658270706293281,http://www.eveshamwood.com/,4.5,17,3795 Wallace Rd NW, Salem,OR,97304, USA,
Rockgarden Vineyard,OPERATIONAL,ChIJnfO1QkVbolQRTwoWwKQQstU,,"83893 Winesap Rd, Milton-Freewater, OR 97862, USA",https://maps.google.com/?cid=15398388375716497999,,,,83893 Winesap Rd, Milton-Freewater,OR,97862, USA,
J. Christopher Wines,OPERATIONAL,ChIJbbKZEVYVlVQRrl9UON9lJCs,(503) 554-9572,"17150 NE Hillside Dr, Newberg, OR 97132, USA",https://maps.google.com/?cid=3108721652189650862,http://www.jchristopherwines.com/,4.7,34,17150 NE Hillside Dr, Newberg,OR,97132, USA,
Mistletoe Vineyards,OPERATIONAL,ChIJO50M2KwCwFQRT3H2pYD4DJE,(949) 278-9401,"2750 Mistletoe Rd, Dallas, OR 97338, USA",https://maps.google.com/?cid=10452002066643972431,,5,1,2750 Mistletoe Rd, Dallas,OR,97338, USA,
Cubanisimo Vineyards,OPERATIONAL,ChIJq6qqqub-v1QRl8iBghfYML8,(503) 588-1763,"1754 Best Rd NW, Salem, OR 97304, USA",https://maps.google.com/?cid=13776748855611738263,http://www.cubanisimovineyards.com/,4.5,79,1754 Best Rd NW, Salem,OR,97304, USA,
Krause Berry Farms & Estate Winery,OPERATIONAL,ChIJx3-AzLbNhVQRMkIKUqWnlv4,(604) 856-5757,"6179 248 St, Langley Twp, BC V4W 1C3, Canada",https://maps.google.com/?cid=18345034460628140594,http://www.krauseberryfarms.com/,4.1,1172,6179 248 St, Langley Twp,BC,V4W, Canada,
The Dwelley Vineyard,OPERATIONAL,ChIJKdJPRRJAolQRH2JM3GWC6gY,(509) 525-0625,"3053 Russell Creek Rd, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=498354082777162271,http://dwelleyvineyard.com/,,,3053 Russell Creek Rd, Walla Walla,WA,99362, USA,
St. Innocent Winery,OPERATIONAL,ChIJAzo9JZRUlVQR8WVYDGuY5Eg,(503) 378-1526,"10052 Enchanted Way SE, Jefferson, OR 97352, USA",https://maps.google.com/?cid=5252490650956883441,http://www.stinnocentwine.com/,4.9,90,10052 Enchanted Way SE, Jefferson,OR,97352, USA,
VX Vineyard,OPERATIONAL,ChIJTwb5UQFClVQRrFHeMW7XtgA,(503) 537-0799,"8000 NE Parrish Rd, Newberg, OR 97132, USA",https://maps.google.com/?cid=51465314044367276,,1,1,8000 NE Parrish Rd, Newberg,OR,97132, USA,
Silvara Cellars,OPERATIONAL,ChIJkbZBF6xNmlQRfprHHXRQJWI,(509) 548-1000,"77 Stage Rd, Leavenworth, WA 98826, USA",https://maps.google.com/?cid=7072147249501280894,https://www.silvarawine.com/,4.7,134,77 Stage Rd, Leavenworth,WA,98826, USA,
Buddha Kat Winery,OPERATIONAL,ChIJjf0QOCyFlVQRDr7UHww3h18,(503) 668-3124,"17020 Ruben Ln, Sandy, OR 97055, USA",https://maps.google.com/?cid=6883531080672263694,http://www.buddhakatwinery.com/,3.7,15,17020 Ruben Ln, Sandy,OR,97055, USA,
Analemma Wines,OPERATIONAL,ChIJg4dXBoIallQR_zn_01-z-h0,(541) 478-2873,"1120 State Rd, Mosier, OR 97040, USA",https://maps.google.com/?cid=2160236195437558271,http://www.analemmawines.com/,4.6,45,1120 State Rd, Mosier,OR,97040, USA,
Resplendor Vineyards,OPERATIONAL,ChIJmxRXl-o9lVQRifUzxYSguOk,,"3500 NW Bridge Farmer Rd, Gaston, OR 97119, USA",https://maps.google.com/?cid=16841387298656613769,http://www.resplendorvineyards.com/,,,3500 NW Bridge Farmer Rd, Gaston,OR,97119, USA,
Chalice Vineyards LLC,OPERATIONAL,ChIJ-W8OECriwFQRkNvt5E2iPxY,(541) 747-7400,"840 Beltline Rd, Springfield, OR 97477, USA",https://maps.google.com/?cid=1603178447804160912,,,,840 Beltline Rd, Springfield,OR,97477, USA,
The Potter's Vineyard & Clay Art Gallery,OPERATIONAL,ChIJeeGyWKprlVQREXCP2PjjQJ0,(503) 504-3796,"14725 NE Quarry Rd, Newberg, OR 97132, USA",https://maps.google.com/?cid=11331307320388841489,http://www.pottersvineyard.com/,4.9,36,14725 NE Quarry Rd, Newberg,OR,97132, USA,
Sweet Earth Vineyards,OPERATIONAL,ChIJnQpri35UwFQRS1abjzcudzA,(541) 914-3592,"24843 Kyle Rd, Monroe, OR 97456, USA",https://maps.google.com/?cid=3492310852216510027,http://www.sweetearthvineyards.com/,5,5,24843 Kyle Rd, Monroe,OR,97456, USA,
"Wooldridge Creek Vineyard, Winery, Creamery & Charcuterie",OPERATIONAL,ChIJuYyTS0WGz1QRC365E6xUtmM,(541) 846-6364,"818 Slagle Creek Rd, Grants Pass, OR 97527, USA",https://maps.google.com/?cid=7185023353558236683,http://www.wcv.farm/,4.9,113,818 Slagle Creek Rd, Grants Pass,OR,97527, USA,
Gillespie Corners,OPERATIONAL,ChIJDyR7qr09wVQRKe0Oxvbk7S0,,"Territorial Hwy, Eugene, OR 97405, USA",https://maps.google.com/?cid=3309553049723137321,,3.9,7,Territorial Hwy, Eugene,OR,97405, USA,
Sass Winery,OPERATIONAL,ChIJqVN51pgIwFQRXgapVeN7LCQ,(503) 391-9991,"9092 Jackson Hill Rd SE, Salem, OR 97306, USA",https://maps.google.com/?cid=2606594500665607774,http://sasswinery.com/,5,43,9092 Jackson Hill Rd SE, Salem,OR,97306, USA,
Umpqua Valley Wineries,OPERATIONAL,ChIJsUP3Td8ixFQRyE51ASKNrd0,(541) 673-5323,"522 SE Washington Ave, Roseburg, OR 97470, USA",https://maps.google.com/?cid=15973578630545886920,http://www.umpquavalleywineries.org/,4.5,2,522 SE Washington Ave, Roseburg,OR,97470, USA,
Archery Summit,OPERATIONAL,ChIJV1ZPvUtBlVQRu6PnF0iWLnc,(503) 714-2030,"18599 NE Archery Summit Rd, Dayton, OR 97114, USA",https://maps.google.com/?cid=8587966775824982971,https://www.archerysummit.com/,4.6,94,18599 NE Archery Summit Rd, Dayton,OR,97114, USA,
Devium Wine,OPERATIONAL,ChIJ0ZJoUMwVolQRsaaDZWe8JQo,(541) 310-0317,"1460 F St, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=731197666788353713,http://www.deviumwine.com/,5,2,1460 F St, Walla Walla,WA,99362, USA,
Depoe Bay Winery,OPERATIONAL,ChIJ-YWFpPmH6lQR__gssuqycuo,(541) 765-3311,"22 US-101, Depoe Bay, OR 97341, USA",https://maps.google.com/?cid=16893761873301534975,http://www.depoebaywinery.com/,4.8,79,22 US-101, Depoe Bay,OR,97341, USA,
AniChe Cellars,OPERATIONAL,ChIJgb7K8roNllQRS2Cz4_O6o2Q,(360) 624-6531,"71 Little Buck Creek Rd, Underwood, WA 98651, USA",https://maps.google.com/?cid=7251845381656633419,http://anichecellars.com/,4.9,90,71 Little Buck Creek Rd, Underwood,WA,98651, USA,
Mark Ryan Winery,OPERATIONAL,ChIJly6JF2NqolQRggxngApCIEU,(509) 876-4577,"26 E Main St, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=4981053800743111810,https://www.markryanwinery.com/,4.2,39,26 E Main St, Walla Walla,WA,99362, USA,
Monroe Hills Wineries,OPERATIONAL,ChIJdcme6BlTwFQRvmlNU6BCQZ4,(541) 424-2478,"25059 Larson Rd, Monroe, OR 97456, USA",https://maps.google.com/?cid=11403468987838589374,https://www.monroehillswineries.wine/,,,25059 Larson Rd, Monroe,OR,97456, USA,
Stomp by Croft Vineyards,OPERATIONAL,ChIJ-7nIyYkDwFQRjebO6KnKurk,(503) 364-3085,"5475 River Rd S, Salem, OR 97302, USA",https://maps.google.com/?cid=13383232073789007501,http://croftvineyards.com/,4.5,11,5475 River Rd S, Salem,OR,97302, USA,
Southern Oregon Wine Institute,OPERATIONAL,ChIJ2w47hNEYxFQRz7fl4LE9Brs,(541) 440-7694,"1140 Umpqua College Rd, Roseburg, OR 97470, USA",https://maps.google.com/?cid=13476526769144444879,https://www.umpqua.edu/sowi,4.7,6,1140 Umpqua College Rd, Roseburg,OR,97470, USA,
Merveille Vineyards,OPERATIONAL,ChIJnxiO9LqlxlQRC5JJ6uUzjFc,(541) 459-4572,"8877 Nonpareil Rd, Sutherlin, OR 97479, USA",https://maps.google.com/?cid=6308474240610439691,https://coveypoint.com/,5,1,8877 Nonpareil Rd, Sutherlin,OR,97479, USA,
Pheasant Court Winery,OPERATIONAL,ChIJ1_Wx2YM4wFQR_XpeBVyu5OY,(541) 929-2158,"1731 Pheasant Ct, Philomath, OR 97370, USA",https://maps.google.com/?cid=16637614633663757053,http://www.pheasantcourtwinery.com/,4.4,10,1731 Pheasant Ct, Philomath,OR,97370, USA,
South Hill Winery,OPERATIONAL,ChIJbeIl22ANllQRsR4Yt5JcK8U,(541) 380-1438,"801 Scoggins Rd Box 235, Underwood, WA 98651, USA",https://maps.google.com/?cid=14207551234677153457,http://www.southhillvineyards.com/,5,34,801 Scoggins Rd Box 235, Underwood,WA,98651, USA,
Mystic Wine,OPERATIONAL,ChIJuw-UYzpVlVQRaSPlPUgobKw,(503) 581-2769,"11931 SE Hood View Rd, Amity, OR 97101, USA",https://maps.google.com/?cid=12424349762749539177,http://www.mysticwine.com/,5,21,11931 SE Hood View Rd, Amity,OR,97101, USA,
Bieze Vineyards,OPERATIONAL,ChIJMY_-n8JTlVQRIehuiplWTIo,,"4410 Lone Star Rd NW, Salem, OR 97304, USA",https://maps.google.com/?cid=9965435292916574241,http://biezevineyard.com/,,,4410 Lone Star Rd NW, Salem,OR,97304, USA,
The Gorge White House,OPERATIONAL,ChIJV_i-T0APllQRK60hA4R_GdY,,"2265 OR-35, Hood River, OR 97031, USA",https://maps.google.com/?cid=15427502203499293995,http://www.thegorgewhitehouse.com/,4.6,785,2265 OR-35, Hood River,OR,97031, USA,
Country Vines Winery,OPERATIONAL,ChIJ-bbbv97fhVQRL6n0HZrU5tA,(604) 274-9610,"13060 Steveston Hwy, Richmond, BC V6W 1A3, Canada",https://maps.google.com/?cid=15052952562925087023,http://www.countryvines.ca/,4.7,80,13060 Steveston Hwy, Richmond,BC,V6W, Canada,
Abbey Creek Winery: The Crick,OPERATIONAL,ChIJrwseQnsDlVQRx3J5zC8-Rrc,(503) 389-0619,"31441 NW Commercial St, North Plains, OR 97133, USA",https://maps.google.com/?cid=13206311332325454535,http://www.abbeycreekvineyard.com/,4.8,95,31441 NW Commercial St, North Plains,OR,97133, USA,
Henry Estate Winery,OPERATIONAL,ChIJ4_U2tjAbxFQR0kgfsJUkEZY,(800) 782-2686,"687 Hubbard Creek Rd, Umpqua, OR 97486, USA",https://maps.google.com/?cid=10813464405616838866,https://www.henryestate.com/,4.7,52,687 Hubbard Creek Rd, Umpqua,OR,97486, USA,
Crowley Wines,OPERATIONAL,ChIJL0YTXKQLlVQRkw7Wf46FexA,(971) 645-3547,"3511 SW Kanan Dr, Portland, OR 97221, USA",https://maps.google.com/?cid=1187689773818842771,https://crowleywines.com/,,,3511 SW Kanan Dr, Portland,OR,97221, USA,
Don Carlo Vineyard,OPERATIONAL,ChIJ83cw1mRqolQRd-UL5pN_BZE,(509) 540-5784,"6 W Rose St, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=10449898783579563383,,,,6 W Rose St, Walla Walla,WA,99362, USA,
Vitis Ridge,OPERATIONAL,ChIJ9eRassTjv1QRBM49eT3Jr5Y,(503) 873-9800,"6685 Meridian Rd NE, Silverton, OR 97381, USA",https://maps.google.com/?cid=10858118492477836804,http://www.vitisridge.com/,5,40,6685 Meridian Rd NE, Silverton,OR,97381, USA,
Five Star Cellars,OPERATIONAL,ChIJDSl2gwRqolQRNAjzRW4V77c,(509) 527-8400,"840 C St, Walla Walla, WA 99362, USA",https://maps.google.com/?cid=13253835791738800180,http://www.fivestarcellars.com/,4.3,15,840 C St, Walla Walla,WA,99362, USA,
Abacela Winery,OPERATIONAL,ChIJtav88DE5xFQRkFq6XE3ri4o,(541) 679-6642,"12500 Lookingglass Rd, Roseburg, OR 97471, USA",https://maps.google.com/?cid=9983331716497562256,http://www.abacela.com/,4.9,101,12500 Lookingglass Rd, Roseburg,OR,97471, USA,
De Ponte Cellars,OPERATIONAL,ChIJg3LouDRBlVQRXybsvH0J5L0,(503) 864-3698,"17545 NE Archery Summit Rd, Dayton, OR 97114, USA",https://maps.google.com/?cid=13683072003503564383,http://www.depontecellars.com/,4.8,68,17545 NE Archery Summit Rd, Dayton,OR,97114, USA,
Rain Dance Vineyards,OPERATIONAL,ChIJt8yOhMBqlVQRwn-y6wH7UoY,(503) 538-0197,"3004 NE Zimri Dr, Newberg, OR 97132, USA",https://maps.google.com/?cid=9679074534840500162,https://www.raindancevineyards.com/,4.6,23,3004 NE Zimri Dr, Newberg,OR,97132, USA,
Pfeiffer Winery,OPERATIONAL,ChIJ6bxBl4wfwVQRRmqBIq9G-u0,(541) 234-5197,"590 Pearl St, Eugene, OR 97401, USA",https://maps.google.com/?cid=17148096249178712646,https://pfeifferwinery.com/,4.3,25,590 Pearl St, Eugene,OR,97401, USA,
Ayres Vineyard,OPERATIONAL,ChIJw-qQWLo_lVQReBXhIUASf7k,(503) 538-7450,"17971 NE Lewis Rogers Ln, Newberg, OR 97132, USA",https://maps.google.com/?cid=13366422285714527608,https://ayresvineyard.com/,4.9,9,17971 NE Lewis Rogers Ln, Newberg,OR,97132, USA,
WooHoo winery,OPERATIONAL,ChIJH1ufPqu3k1QRh4ejggtTHKw,(360) 875-8186,"45 Old Bullard Rd, Raymond, WA 98577, USA",https://maps.google.com/?cid=12401878782773004167,https://woohoowinery.com/,4.9,15,45 Old Bullard Rd, Raymond,WA,98577, USA,
Copperbelt Vineyard,OPERATIONAL,ChIJz08s2X9fpFQRe6F8Uf4P0Gc,,"Cook Rd, Baker City, OR 97814, USA",https://maps.google.com/?cid=7480496566025625979,,5,1,Cook Rd, Baker City,OR,97814, USA,
Nysa Vineyard,OPERATIONAL,ChIJzad8yzBBlVQRjvK49bq4XIY,(503) 538-3604,"18655 NE Trunk Rd, Dundee, OR 97115, USA",https://maps.google.com/?cid=9681816412065690254,https://www.nysavineyard.com/,4.7,6,18655 NE Trunk Rd, Dundee,OR,97115, USA,
Stoltz Winery,OPERATIONAL,ChIJGV_eUG8OllQRPmcuXsJM5iw,(541) 716-1330,"514 State St, Hood River, OR 97031, USA",https://maps.google.com/?cid=3235357779999745854,http://www.stoltzwinery.com/,4.2,15,514 State St, Hood River,OR,97031, USA,
Brick House Vineyards,OPERATIONAL,ChIJKVO0arc_lVQRSCndWbzWNu0,(503) 538-5136,"18200 NE Lewis Rogers Ln, Newberg, OR 97132, USA",https://maps.google.com/?cid=17093085540181158216,http://www.brickhousewines.com/,4.6,16,18200 NE Lewis Rogers Ln, Newberg,OR,97132, USA,
Blakeslee Vineyard Estate,OPERATIONAL,ChIJlavJJWRrlVQRZ1HT7t4_eho,(503) 625-6902,"20875 SW Chapman Rd, Sherwood, OR 97140, USA",https://maps.google.com/?cid=1907907618866942311,http://blakesleevineyard.com/,4.5,112,20875 SW Chapman Rd, Sherwood,OR,97140, USA,
McBeth Vineyards,OPERATIONAL,ChIJi4hP_iYZwVQRcu8TWGEHfyM,(541) 343-7002,"85162 McBeth Rd, Eugene, OR 97405, USA",https://maps.google.com/?cid=2557771228040654706,https://www.mcbethvineyards.com/,,,85162 McBeth Rd, Eugene,OR,97405, USA,
Silver Falls Vineyards,OPERATIONAL,ChIJCX2rOPLwv1QRFCK2BKVIZ6s,(503) 769-5056,"4972 Cascade Hwy SE, Sublimity, OR 97385, USA",https://maps.google.com/?cid=12350920376672723476,http://www.silverfallsvineyards.com/,4.7,10,4972 Cascade Hwy SE, Sublimity,OR,97385, USA,
Belle Fiore Winery,OPERATIONAL,ChIJUWLQ1RsNz1QROb7nZHnQf6E,(541) 552-4900,"100 Belle Fiore Ln, Ashland, OR 97520, USA",https://maps.google.com/?cid=11637249181951180345,http://www.bellefiorewine.com/,4.5,170,100 Belle Fiore Ln, Ashland,OR,97520, USA,
Spangler Vineyards,OPERATIONAL,ChIJY3KvPRoKlVQRH78GVMTt2mE,(541) 679-9654,"491 Winery Ln, Roseburg, OR 97471, USA",https://maps.google.com/?cid=7051209594081034015,http://www.spanglervineyards.com/,4.5,31,491 Winery Ln, Roseburg,OR,97471, USA,
LS Vineyards,OPERATIONAL,ChIJP9i_97inlVQR0_c6AkZYtg4,(503) 687-3005,"9675 Hopewell Rd NW, Salem, OR 97304, USA",https://maps.google.com/?cid=1060131820000704467,,,,9675 Hopewell Rd NW, Salem,OR,97304, USA,
Benton-Lane Winery,OPERATIONAL,ChIJVwz6Uv9UwFQR4DxPw4BLxRY,(541) 847-5792,"23924 Territorial Rd, Monroe, OR 97456, USA",https://maps.google.com/?cid=1640800655651060960,http://benton-lane.com/,4.6,29,23924 Territorial Rd, Monroe,OR,97456, USA,
Arlyn Vineyard,OPERATIONAL,ChIJVdKpzeo_lVQRssCmAbJ_k0s,(213) 255-6034,"17325 NE Calkins Ln, Newberg, OR 97132, USA",https://maps.google.com/?cid=5445836776929673394,http://arlyn.farm/,4.9,19,17325 NE Calkins Ln, Newberg,OR,97132, USA,
