photo_reference,place_id,height,width,uploader
AW30NDx7GiqL_WYt-uuaq8cxDIdolQimi7WfYNZfFWI7MwMEshphbUEugaGqzopbULMy0ZsO3pcYMD-g8_A76KEi8zYJxGWFBP0ts9q9C8YxgnsBKizHzPhHBp0GhKYINOSt8FfmE1KqMDzrPXpx9UpzQLBzJJUtFhWyEa9Vx9VhE_vGG18R,ChIJh35nmr3jwFQRuSSHefRzR9s,4032,3024,"['<a href=""https://maps.google.com/maps/contrib/109495366718630034646"">Northwest Vines</a>']"
AW30NDxmhGUAjoyULeLUy7zbYQesOX5A6NdYX-YdqA02d65mh4AJF77h7Af5AcMKS1CuznnuWnLZUerIwFbSPXTZFz36vFxnXbzz28tMyZeYTj4Aw2e9J96sBM5IvcyMlhQffB2HYt6ef4Dnyg4jeDxCfDvg-4ZtlHYZvKakcJhlQi31O8fh,ChIJpzxZx3Niz1QRA1uh-Vb9toI,2448,3264,"['<a href=""https://maps.google.com/maps/contrib/107462067074954507837"">What to do in Southern Oregon</a>']"
AW30NDyD2UtSjMjF86yYPt7kFqcBffAchvo9GL6E4lHEjQC2bokLkZPd35iBVlNzunUmogwUD4Q2dc4R-yRn_7F0EAdhKaBOCgJMu9t32-Y6NepSfXepsmJfC66TxB6LqrJ-DRtkdOas8KEJxnguX_Hjy4yx4zeTDRRJG0knuit-yESp3LDw,ChIJpzxZx3Niz1QRA1uh-Vb9toI,4032,2268,"['<a href=""https://maps.google.com/maps/contrib/103374411542817962298"">Xan Lyfe</a>']"
AW30NDx0s_KTPqU23gQWuysYMm5Dv7mnzAsPKwepM81OgBavWRW40-4st-I4yHzvAoVLP_8Z-OVQqQstUttrXfDabWdgSMDOhnzjKbuhcA7-k7krTsoI-d2T2LpSaH_Swiam2eBeE-Uj7oSse98zreXX_El27t7mf1nlQUqmIH_O4E6BcOzR,ChIJpzxZx3Niz1QRA1uh-Vb9toI,3984,2988,"['<a href=""https://maps.google.com/maps/contrib/108180341538195596413"">Sue Halterman</a>']"
AW30NDw4wuFhIBxoz-ZfqzeyhxBQ9UECoaWQeE93X7fv5cndEj0JJBPEO-dvxmBgAIsH23Qm3-j4AmENe4IAyYOIkOHiGVESGhtkZoPK0yc4ruauOmcuYCUe9cFvUrZigSFIpHitP0anA373NEtTLXQCVXD4ieGJAMSDBC2lBEyVO1a7gJnP,ChIJpzxZx3Niz1QRA1uh-Vb9toI,2268,4032,"['<a href=""https://maps.google.com/maps/contrib/103374411542817962298"">Xan Lyfe</a>']"
AW30NDwrM9QRsSaICNlIEY6tH8fcfJ_oVpcI87CDxkDRL0jyjQz8wAyQO_Ov--u1-bk44t8H4b69xOz4_0yY6-ku4IjqOV_ijoNLEnnOxW5rabjhRrv-sF_joV_qHlqxT4wSbrItr_VJxQMg3Nzeafr-ksTggXWh91AGFgACjCCrinFEa-cy,ChIJpzxZx3Niz1QRA1uh-Vb9toI,2448,3264,"['<a href=""https://maps.google.com/maps/contrib/107462067074954507837"">What to do in Southern Oregon</a>']"
AW30NDwrzFEPvLJHlVQLeBT1iNn3svl4ZqOSCdIEbMV0GL8Iw1rgSHKkp8WXJ0FvPZZOw816zZdyDq6VAR5mZtEGJO4Rn3VRZYM3rSb2WwtJ1K3vZBeZByfCrfdA4dJd6siR6nT1CdhT4pFcnHQg4QOYP3nzoRGqJMCfx-p5vaMpH1wNcgJZ,ChIJpzxZx3Niz1QRA1uh-Vb9toI,4032,2268,"['<a href=""https://maps.google.com/maps/contrib/103374411542817962298"">Xan Lyfe</a>']"
AW30NDy4ZhGeEQ0yA8D6dRlcBRcE2S5_zqqTM0qiNklfeD2qOpaYeuDMFkMVNpn66qaRMRI3To02_YagwAMCUIr1mYx_aKWKB9XXnnlHimzulI-P_vRPnGfx-bpTGod8H-kxQDSBmpwoNPFFu4jOxYfdWmlglib9r9ueyLR3CyqXkWE7ruLz,ChIJpzxZx3Niz1QRA1uh-Vb9toI,5312,2988,"['<a href=""https://maps.google.com/maps/contrib/115063302459319032893"">Fiveseries Sharon</a>']"
AW30NDx1Du2T_YrdIhGFGWSs3pJggVZ-PZ1TWWNKxAIKVtsJLznKEPPqUzzELByQaJ8E5SdbRYrG9Wl91aY3Ebw11-OFuWVqY_Z00ib3aVMfAIKfTzAZIUXsClXuHND9xjTme6xu3kw_uCHaCZAsq5O9oGIubQaYTC9CNY471kCMCGfwyIsN,ChIJpzxZx3Niz1QRA1uh-Vb9toI,2340,4160,"['<a href=""https://maps.google.com/maps/contrib/107874432728894865891"">Tristan Fulford</a>']"
AW30NDxe3fpbuSyu3ejjUnBRjl5taXRfcptYP2935KzA8UkyGRDGZkbvk5U8fPJpxyBlJzWWwM8EOhkOekzMu_eg1ApvRf0FqzdfzyWdaf-cOkcgWZ5fYeh2q0sU6z9-dCuPRwrfNV3MBsmOthCORBrk98QYv4C02XvKV70HLls7lUpk8wbT,ChIJpzxZx3Niz1QRA1uh-Vb9toI,5248,3936,"['<a href=""https://maps.google.com/maps/contrib/111278308073614276950"">Kim Howitt Ross</a>']"
AW30NDy8YK3XSElSE-Uh4fPOBKfUJlG_MFyR5gDv6HSt51JrVw81VIjfSyHVp7iz6c7-HhTdChT6O9aJVoiDMGN_-G7Kmcn3nMsGPCVeRtl4765LheovcNnNQ3jTHfhuX0wiP03fri_kY1dNKbYp2vOEEiWfiey1mS-HpecSCL3sarqtRo6w,ChIJpzxZx3Niz1QRA1uh-Vb9toI,2448,3264,"['<a href=""https://maps.google.com/maps/contrib/107462067074954507837"">What to do in Southern Oregon</a>']"
AW30NDwyOqh1NFdHZ8PlAteefslVxo1poVv9EmHZgr0ho-lmJDtugrkVoUOs8wqk_ORcocq74TI6etKNE5tom46jHODB82K6p5q_vUfbO1GJbB_jHSGS2WDjtgfR2pgbrv85YP6bwOx9GE7QB385ZhWf_e5yRJPgfrlQzZ9931e4WA45x9P4,ChIJWVWjowhXwVQRRF_91U0QSSE,2268,4032,"['<a href=""https://maps.google.com/maps/contrib/106072181268447037376"">Tom Mossberg</a>']"
AW30NDy7-2OozR7hZmBvYJoy33lQRLRgIhkJ8baqEgKJOtedDZGlXy5gUugXEaxHwKNilV0SIOY4eo_mw6GVE_wfRsN2Ca8pww6XhNq_M354zOZIyBfSAgotvVosuBCw_46XHbvfl3XpYhb-tzEgX466jHAfnOeq61mATHGyVw_-8GsOvqqT,ChIJWVWjowhXwVQRRF_91U0QSSE,1600,1200,"['<a href=""https://maps.google.com/maps/contrib/112642677529841657402"">Brandborg Vineyard and Winery</a>']"
AW30NDxcK41sbXfVSHClM40sp6KlwDPZabJO7XYw_XDkf-NQUtBqPlOuVI3MJJ3eKwPqu2Q2JP_cAlGxziGSjtyGrFVP_srXvQIxkKlK-VZYD3ex11_H3yCTQCY7o2XiqqzaSAzfmO4hlcVuA17AQ4SOxvrKkq7wWyh6JMjk8XY6lpamfbIZ,ChIJWVWjowhXwVQRRF_91U0QSSE,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/100150831663760014553"">Matthew Krunglevich</a>']"
AW30NDya7uwTzYMkqryM50G3EVqzWhn2_aJlKjbIFtXm3ZwGkwdROIlVvVymXVOgJ-197-jX9vBxgj86Gz2dnoYywH9CsBzU0Gbujkg47LBKtHZH1oVHzfnODf00MXE0M-BNeszEdWlyb7O7WJbsoHbjY70dqigXANdizoGPc32lxXfxjBG_,ChIJWVWjowhXwVQRRF_91U0QSSE,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/100150831663760014553"">Matthew Krunglevich</a>']"
AW30NDzYzicRRwrs8dpIpEWqnqWMhqgvFc9LZoc6kKUL68GcLX3bqmcMeizmpoN0iyJpLgTHLhOVcspe61Q9qUbVSlFiHVbE_N-MtRo4ctdZnvaFevhh3iyjlRl_KGh6sDYKXrxHmEfKRIcr5f3QVozp2fxTGl0c_qmVstL-X7H9VO_ehjsz,ChIJWVWjowhXwVQRRF_91U0QSSE,1536,2048,"['<a href=""https://maps.google.com/maps/contrib/116263658404577547458"">Sue Wyatt</a>']"
AW30NDxhgKoEE-Zk9wbSx2dgbG0WQVCWoLyyEC8SrTSdNFZXqi9VZH-VBltt1shmrA6UP8LlLNv08E0vwZB-NsC6AwpVrH5X6_q9ySF-ttQwDyqwRQER26UVOvp6RfAP3XTpkInsaT7PK4oXW2952xTgfPl9C2VN7OrITcbH7WqqklIlZN2Z,ChIJWVWjowhXwVQRRF_91U0QSSE,4032,3024,"['<a href=""https://maps.google.com/maps/contrib/103995449835853540047"">Jack Gadzala</a>']"
AW30NDzev3GEkFBTmtC8qwMRz-axXaHdTA-uhAA3Ta1Y9AEgUJcqbmqEr474m_fnvZv-4w4QsJH08JFbsRnfHpzCQw-G_kOqzHOX9mzlZTI5quh9XzCzhWhJJUDfts_g5qJ0UOY9UdRmIqdDnSUxqryM4zpMYyuqiBKkfxDP7F8WuI0OlTUj,ChIJWVWjowhXwVQRRF_91U0QSSE,4032,2268,"['<a href=""https://maps.google.com/maps/contrib/114466444239541451974"">Millie Penuel</a>']"
AW30NDzn8QlO90e56jwLys3ebGDUkWp9bo9Aw_HtSzU6lYnPF8wz0XnmTHvIMPuq3ep5bX60s1UtxUaUXECT9J5AMe2-kkhPE7WzksknM6kxRjVoPxqeH_b9mwoGfc-XY-nBwFwqO-SAb-rlc_sUoqG5QGqa4SfNMPJ2REEAYzWzWkvX8p87,ChIJWVWjowhXwVQRRF_91U0QSSE,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/107050773328839562634"">matthew talbott</a>']"
AW30NDyzk5iKuVs4iZbsIcXZUitqeeAqbE_k1bOMnERgcom65CAEB8fQI2xVpdvPjHIfvAXVfI3jlgoQs1P9a3Em35Iy5nprJ0sXFbLst8hsPGCzRgivA35IJcVIre0T1ekqDms9A_p3mhNm68qxh9AfY_lUz7O-1Y4HyFLZYyHC1_blc28p,ChIJWVWjowhXwVQRRF_91U0QSSE,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/103995449835853540047"">Jack Gadzala</a>']"
AW30NDzbVOOaW6Mq8OLg1rKhhoT94ukPx7haw_UDoRDsLjQ9F-51KsUTsFzUZL3y8W8LHhjOs6IcaxcnhT7rnzml1C2X84_lew5NV0N1YvIcZg9AqHY7PfpEsfHvpu4CgC5kvxWgAdcb1qPcwbo7Iaq2fqDI7hbRfTGIqYQmSrAmMtE2xuQk,ChIJWVWjowhXwVQRRF_91U0QSSE,2322,4128,"['<a href=""https://maps.google.com/maps/contrib/106744703737957160292"">Tawny Lamb</a>']"
AW30NDwCbMVe8wLJBqCb4yWZ8mCuESbE92fn1y9BZ_Eu9lntmUUpUIzVsUwrPc1EMyRSdySdlRNOGDLHK3c6XOZWyE0Gxc8l_geQR2ol-UvjIQTVB9cbQyHrlK0fU-bkTTKGFffJs9wqwDzSYrtkCiZap_L9B-MWWE86lFnO7cETY9kh0zTG,ChIJsVlqYtQZxFQRSbA2voG7-V4,580,1024,"['<a href=""https://maps.google.com/maps/contrib/106525472263992361259"">Glaser Estate Winery</a>']"
AW30NDxIailxgew3ucvJCHJmW6PvJvu4GD6LvU08RbSe7Wc9HAitlXsJ6af8XJ8YwRRFoiegKS0HmKJn-fJbkY52YJTXTSby8l94DeVfybWvSD3LTgQjngvdVOuPYvPibeiOVRkgAzSDXEua7m5dQLoZTvFM4fcpv_fhglzY0VaX7Vk_Z-iu,ChIJsVlqYtQZxFQRSbA2voG7-V4,3936,5248,"['<a href=""https://maps.google.com/maps/contrib/116155805408028853839"">Eric Howard</a>']"
AW30NDw_jjCHZya5eqbiFS3XBG94rgFD_tnG6xpIhN2G_lDVcgOH17wsK-lUqvH5auqFbE2cEKTMAE1IM1ypkSWq_SpYf_fCnQ4IsR-hPs-x9eY_Pn5kjIup-vIJXxNh6XQpA2bSHHQLOTSd_SCEJ5I90-hJnyP2vHpMfn3c7KXZWv-QPV4,ChIJsVlqYtQZxFQRSbA2voG7-V4,2268,4032,"['<a href=""https://maps.google.com/maps/contrib/113870321487086138460"">Gala Q</a>']"
AW30NDx6B7C8m1fbhTCiGf8TBnQWqWYnlsPcL4w00HiSLhllIeS1lLUZ3Btt7cobLsiPp9JfH_HT9y_BpuGk5q-qQlUjY_oxgeyhYpcv6sbMG94MdvU4kbJ7dEHiwRDVvfSgdI5iwy3I56PD5VwY6lTAmc60X-aiO4Xo9-VX2dl5UqbmGG4,ChIJsVlqYtQZxFQRSbA2voG7-V4,2268,4032,"['<a href=""https://maps.google.com/maps/contrib/113870321487086138460"">Gala Q</a>']"
AW30NDz4cHGzo_xJ-FAuLpihNJHw1j-MvUuoYUJVGW7fdfGpTqXiKeRXc6TDHkYAvl_A11J6-lNob6zMh77SKAEb3yI7YfXWMoFbP_I5I2CLe3FO9fejP1Jfp_gzTak8bPjPPLpw5zIRFAkRwxFvm51R5rV5VmrYovQkV5PHD50NRUMS8ZnM,ChIJsVlqYtQZxFQRSbA2voG7-V4,2988,5312,"['<a href=""https://maps.google.com/maps/contrib/102493565629559611418"">Joe Williamson</a>']"
AW30NDwogq5dcH98yWRgQbdlVlwf2i4DtnsTWDNGT8ZwTOIQtOUzOdPOdpydzZiYK9qDzSWbeMYkEJyl48fW3dFSOGlEF3axpjrdOCpnuUFIdcQxXgc2RXi2uGUh7wgrlr1-UgVaNqO3R3QgXkKwzI8GI3JfcknUBM2S4nMHl-Ma0mwLBt0,ChIJsVlqYtQZxFQRSbA2voG7-V4,4032,2268,"['<a href=""https://maps.google.com/maps/contrib/113870321487086138460"">Gala Q</a>']"
AW30NDw1GcIb4v8q6u56mhaRViKCvBwAEXJkqdrK7uyfMIBH-cEJEsXyvrbO0LiHtQTlGnvhHo-nG01JexkC9wLk7OO_Urr684FbfZszPPCttDkNXFhUiWv5prl3OjbHt5SrJZdTSw6EDwPquifOpcvZgo29mqrqLSoF_V5iFt4w4MjQFZo,ChIJsVlqYtQZxFQRSbA2voG7-V4,2268,4032,"['<a href=""https://maps.google.com/maps/contrib/113870321487086138460"">Gala Q</a>']"
AW30NDwTP5JbLu8vitfAwzQrjNq8Gsz2wojyi16vDIcaNf8NnGgTYYBAKeiRSpdSOGKxuO_4Bl6XwoaGRrjW9NDuNc_amw-pCR7zqsp66GDhwg8rx3AkJodeaFhmDT2sKa_S95KQ7_B6VbRHbPzxagBrh3Kp79rTRjTLf73VJlRc3hgtLvM,ChIJsVlqYtQZxFQRSbA2voG7-V4,2268,4032,"['<a href=""https://maps.google.com/maps/contrib/113870321487086138460"">Gala Q</a>']"
AW30NDyrLAAv1BWFXGn2OSSrC8IwH9aM2TKMVoLrV28kOtuhIm_4xAEb1xvpZNpao7llwOmLgM7ryK0VfpU3S-hbQLibemuNSnAkTxEgbd0Wq1q4y2-pQP5mus6LZBef-MSx37mE0D5ZIMldAVN8RGIPro3MJ1uNIv7clrSgpqxHW1JppWI,ChIJsVlqYtQZxFQRSbA2voG7-V4,2268,4032,"['<a href=""https://maps.google.com/maps/contrib/113870321487086138460"">Gala Q</a>']"
AW30NDy4tzqUqU1H8q0_AdfYBqIkUh7QlgxH53jPMYiMEQVPgFXFR6m4vjw7AmfWU0tFrnjjoVI3qsSiSTbqXHQPhb8HIlue1g6XSqxAimlMWO3xya5J6cg909F6wa3vvl68Y9KmjOP2jfOXBIKu3KoyKG6z-egAnOfFo8t_N0Ff4mAh1eU,ChIJsVlqYtQZxFQRSbA2voG7-V4,2268,4032,"['<a href=""https://maps.google.com/maps/contrib/113870321487086138460"">Gala Q</a>']"
AW30NDzwjivlowLkGBShAfrXp3wjZhEiR3n65dVjmyY6OFFgF1-suGrWr8w_QGPenIBzdX0PUl-X5EkbvM4Wf6y94mkBF7kr8U0WPpHpdAjJbnazx-MLN3otN5jZNFGEC1OmwMIRaD4R6vYiYu1WeoQJu9Gd-UsXpOxrqLX6OB7awPprXFNx,ChIJ43Puwk1ColQR74SiPklMvqU,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/102993759891367864707"">Marc David</a>']"
AW30NDxPNQrGifacksqWdftoVc9wt0CG75ogGFUYXDEYxfFCgocgIaQ6cDnjMkttcv3w8T_XjMJTdNGJ3JpeVb5xt4_e-T63ZZuM56Czqj5hZIoheZ1ah9QyhKYaVk2MrFWWEbrEtJkPcuztSZSfDZAdMg0XStNQSz4KUR5MMs3QWDVfp_27,ChIJ43Puwk1ColQR74SiPklMvqU,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/111573127242603266939"">Charlie Smith</a>']"
AW30NDzl2ryrVbeqlvcg6f1FD2z7Ai3ArSH7AW3VU8AQxMSUmIeZrSxWe-FTjCx9ztinmM_1rvJo4TavmiFzfBHdV7qLxzy3cAOeMvvHZc8eJXdGZZmAt0Zw-FSS0ctMMHeNigufozAIDsNILOfO9CkTZ5OPeHVCy-OpMbvVMbX-8clqnEAu,ChIJ43Puwk1ColQR74SiPklMvqU,4032,3024,"['<a href=""https://maps.google.com/maps/contrib/100001391067479981387"">Brandon Pettersen</a>']"
AW30NDyVaJy1FiLb1aTURx2hdfIdJYSaJDp8nCFObU8QBgaK5_VfiWerlwr6fWPXMjbrMOm0rAr1wil5qNHjDjwI-tmBswcY7RzPLRWka3h529sbuo-62vgryP-12IuYeHzFk_H3rRzoHbQYLAaWZmX4wNrwsaOHtzczCocFtIyjuwvvr3HK,ChIJ43Puwk1ColQR74SiPklMvqU,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/111470049445148578333"">Kevin Hoover</a>']"
AW30NDyd40PNaY3F5RT4d4Ew1UUcF0DIxLLl6jsg9hSgHPQExlwViekd2y7a8H1NBFgg-9Jf-l5RAo5IK0UgG12AV_I4RH1Xzcw1KH5jYp-o-PF2tL6fmXbMxb3mr6Mmzvc2KQxfdY5M4T-8Pvoh6fKPO37hYf3DS4M_3YMXC4aYhdN7Ir5X,ChIJ43Puwk1ColQR74SiPklMvqU,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/116771167335168324261"">Dotty Scott</a>']"
AW30NDy7OAIiQZbXOqHULTS_trlcNesHicFUZkd13LC_zNOD-PUIt6Jo3bfjUpZZwSJA5PRRcRWv5oTVxW_Q4G8thdTc1zdtYlT9-nhsgsrIrB2UblU38PvFemzc8rdII3Gc0F7B54l9Sf8nfaXb_tKAh1lKJxgmTxZwH110kMIkPcJYTtzo,ChIJ43Puwk1ColQR74SiPklMvqU,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/106104180725780344909"">James Moore</a>']"
AW30NDyf1w43VlF0O5roeiRt4o5_S3Kp42mVxsutr2Y1UesIzTyZvHlkOQS640omvI3Q-WxdPAvrrn7MEmb16Cso2WO1yYeOYOUYxS9RX64aNJ65Rk8sAxmauUdV_U_oGVvkEYXAWng1FO_fjPFHzdyHlcRoi1-l3XtgYqhAXNRHzpKGLkSo,ChIJ43Puwk1ColQR74SiPklMvqU,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/106104180725780344909"">James Moore</a>']"
AW30NDzYj_-i2nEvI0XqZAv0BJ3xQ4YHaCxsJAlieBlK4s2NCGsu6Y19XDUFxS3YI8xsC-Uj-ybvpSWTl45Q766kVaTnqwuxLGuSeQ93R9zVV0gMT8i69RtE3meklNCZIKRI1Cz91U2RZV0HiHKwiQmi2LzlEaG8FW36g0GcKBgOH94yzxos,ChIJ43Puwk1ColQR74SiPklMvqU,2992,4000,"['<a href=""https://maps.google.com/maps/contrib/108920788490590354165"">Roberto Ramírez Vique</a>']"
AW30NDy6bRKPcapLATnc0vl3VuxWz2BE6YKeB-xOgy2p1nIkGXvoo6ecEXRJBzQEFVhd0dw7rACr3K05Al6wGtmxcrSZPVhr9ztcMlB_iDfTM5AB13xrzMSbnu23J5GrRrNfKapsltQxr1uelMvc-ok9aaqmL-kGA6q-iSbNtrpW-l0-LBYJ,ChIJ43Puwk1ColQR74SiPklMvqU,4032,3024,"['<a href=""https://maps.google.com/maps/contrib/100001391067479981387"">Brandon Pettersen</a>']"
AW30NDw3ZWblTF-DybjcaLJrp5u9A-f0s8nDsBSM_B11qeHmey09oyxN9pA9_A_KmiGamP5fNp963kUWSX4MeLmXcfHAjEt6gXrbrOd1rfwQlm7_krtnsJ104OvHYz3n4TSHUpJ0IIVU7ok84BHhlYS9iJvW9bOxjs4RWafYgRG9zzbmFYk-,ChIJ43Puwk1ColQR74SiPklMvqU,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/111470049445148578333"">Kevin Hoover</a>']"
AW30NDyY-D-0k1XmnQAaZK_yi9yGHasGHU6391zgmaZQ4INEmc5q8du6QrsF4CSJz8i9AJe4XrYcy2ExkJG9pgj9YS5LAsMCZ6SLMOCWqtrxfE8GnBRn4Lw9uDnbi8BpmAmudnq6Ho9yyc0D-2SbCRpUJx9T4_DzPD6W9vEzBpiOWCNtYImN,ChIJY4qS1W4OllQRvAyS2AuKE98,3072,4344,"['<a href=""https://maps.google.com/maps/contrib/106175161108760246134"">Stave &amp; Stone Winery (Downtown Tasting Room)</a>']"
AW30NDxXowLPHbwYwCPSeI3_GdgZu4qWtazn6VVvRyNLOd4K6c01yULOiOziI7yPvaMmlcwRehH0MEz-NSvIxlZ3b92G_Mw7GPSHc0mGslUv2Qe2nevIz0imVQPkPb1IQcB0-tyf7QDfllShFU8mfXtENcF2bNZndE5hw8IYIFtSfLjKIt0b,ChIJY4qS1W4OllQRvAyS2AuKE98,1066,1600,"['<a href=""https://maps.google.com/maps/contrib/106175161108760246134"">Stave &amp; Stone Winery (Downtown Tasting Room)</a>']"
AW30NDzEOecTR3zhMsLIScEJTH2UzsXy0J6HpmvI1aPu9waoQmx6EOyURYEbpDvI4bfIqaehrKAme0SbHCGdMGRmlOv2x98Au9QX1rGRkRUgVyxrQvvabGU-HL0PUw9NDbFcBAA9ztoahrWT4j5XVJwig3vwa0PB0dbZZYcAMK-qrXkFjpGa,ChIJY4qS1W4OllQRvAyS2AuKE98,3072,4608,"['<a href=""https://maps.google.com/maps/contrib/106175161108760246134"">Stave &amp; Stone Winery (Downtown Tasting Room)</a>']"
AW30NDyM7aevGlkxz8r5T0kzQPsfkwIECwh615UrFCr7RTTEFm2t_gTR7o5t7H1IdK7Ub5S1G7cQPS7cV4vRBEyzYJYDAj0g1YkKPci1xWBobCoPUBF_KOC2g1Rcpg1iLWPeB-34J72Apsf7sL3lcteRnEy7PVH5Dy2zkHXWpccZy3gNJpek,ChIJY4qS1W4OllQRvAyS2AuKE98,4000,3000,"['<a href=""https://maps.google.com/maps/contrib/116268066944376798160"">Zoe McGough</a>']"
AW30NDzOSsGkKosFu9V53lghLrkMx7pSY3D2B79RorkXEb6CvAFpUWRhC_O74OK0t92zTX85h9a1LkG_1iVpBwhHBxvl8TMzFly3m28UskK4gQORlbkZCS3X2S60P5F36IOHWCN0FJTnp70e0VSgwqyyW_0R6n0fNXXSl2pqeNz11QBrVdaY,ChIJY4qS1W4OllQRvAyS2AuKE98,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/105879775189020363496"">M. Santana</a>']"
AW30NDxKn5ubwNX-n5_9vi30fEoab5OtYWzjP_k2NkKoUhk6-Q3ZPOTJLo4NRCgoHrSLGADKurQg7xkHyA2kfbv9r_oiluSbWgpnfKsSbtt-w5Y-Tp_YmH9Qp6Q5D_GfyDqt86QqINdLzVqpjE4V7KKcYh6kE37AgT1H8-bYB98BtM4mMm1M,ChIJY4qS1W4OllQRvAyS2AuKE98,2760,3678,"['<a href=""https://maps.google.com/maps/contrib/109846549800107030833"">Gee</a>']"
AW30NDxDX40cAIjcoI7D5BO5d3Po8pBebmg-hcfzadcBYaVTOZ26wajIniLzpOd3l6g_vauzhfbuwC9kaKPxrqUpTaJ4XFBBCP3AG5zNbOeviEPekGNQu3FY_YqNSZmGYEgoZ8Vz9Y-cojtMSX64qgP2jHpVfJR4GA8Bi1eCBaXyffqlI5sp,ChIJY4qS1W4OllQRvAyS2AuKE98,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/108385968504174361121"">Robert Perez</a>']"
AW30NDytsCjB_1O-L1Oga1M_idYoLouCwy5oRs1BeRvs98az0pabfecFNaTM9XXfVdh4f45jqTJ6tZ5mGCo5Xi2v8VF1nHPWrKQ3Iuw0tR35oJxSXheBxAZkdgxh48-kXpWhh8v5B1QCaWONRTHC2ZW8C-zoavjadg_DhJbMkA1MpbakOvey,ChIJY4qS1W4OllQRvAyS2AuKE98,5312,2988,"['<a href=""https://maps.google.com/maps/contrib/103453518016577821962"">Mike McCully</a>']"
AW30NDz7ifevopmzUmCK_Z97NF4zaR_cjAFDc9dSs1Qx4OYgQzg_sLENByMB22z4nYx3iJdGpLECP5Ht3jKG6eNR0ecHHq62TaJtNCtIve4AXGcuttf-mqcQ-3cJ5m3nYCEwtRuRx0-swyh1vAJZR_ca5IK9Ee2UP3Ext0iZb9NtV-pJMnTu,ChIJY4qS1W4OllQRvAyS2AuKE98,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/108385968504174361121"">Robert Perez</a>']"
AW30NDyVIsJSemYVOdc6asm6Fwl86goG_Den4FVoxYid-1KJmHxPaLmOHPSliK5wkBss69zT4YKitXRIr-_JfVjz0ZsVdpm2dPYJ-qUU8OTW5f66UwzrHmUcRw9F9VxhU2onU0tPmhEop1MGNckBgBPgSZLrfTKJIe4hQ0McYUcnHbTmqwuk,ChIJY4qS1W4OllQRvAyS2AuKE98,3024,4032,"['<a href=""https://maps.google.com/maps/contrib/108385968504174361121"">Robert Perez</a>']"
AW30NDxb8XQ5F42Jec7YC4knqVEA_TNhhH_6eDX_J8J4CBCDKr1jbz8wutnKfIGJvIUGMF8uE7r7Y9XsucorLfK_mzcVNHAGIbLtpID8qPYwZor1Sgna7fetRoR9ivxFCvwnZQMvyhyY2FpGkWXKQL58VSaK52qY8F9Y49-e6lSe79FV-XGo,ChIJ83cw1mRqolQRhqvOeqZuGzY,1365,2048,"['<a href=""https://maps.google.com/maps/contrib/105176557661385826964"">Bledsoe Family Winery</a>']"
AW30NDybLsi3AcuI9XmpBcSy4f8LkatImuuQlPP30azcniC-zBhq7qCxNUNmxExlyE8zpqEA8Cu0OW7eqx9tTuL464Oyn696AVOX_hcgDQXd-auVaSchw1WDMNrwTfnKipX5WNjIW39PoF-12sf5EsLW98164Lwvg4cBQW7X9O91v4nR54ox,ChIJ83cw1mRqolQRhqvOeqZuGzY,3032,5416,"['<a href=""https://maps.google.com/maps/contrib/105176557661385826964"">Bledsoe Family Winery</a>']"
AW30NDzaledkzp-rDbwoUl4rWHU5veou_vWRm4v1gwbZ1gm_1vzKcaRO7AOM7dSiqIo_GNQ6I7t7TedoTdH8_b8l2u_jtMn-L1xU-id-P7g0Sv_BFlvz3vU2tO9CUGSRwqyWY5N6cPMJBEPPWZL2sZ2iyFBJaXNVQlLcLeZ8eP1SbnvjfuIE,ChIJ83cw1mRqolQRhqvOeqZuGzY,1325,1980,"['<a href=""https://maps.google.com/maps/contrib/101685693486088784767"">Joe Lourenḉo</a>']"
AW30NDxejTchd135eJi7K9V0JW1J4Mbnh5vO0FaYos6qmyIX5k33K1E_VggSeZbtk9chlR8_8YA4HdRfmiyc-6PX6LlS11P6f7z2XfB3AO5F3gydZrZ9Nsiu7RJIQNzg2kEkWVfKntd2g0AiTOdFu-7y3Jf8QHA-KUG3U8nQtTAWE29t6Zoi,ChIJ83cw1mRqolQRhqvOeqZuGzY,2449,3674,"['<a href=""https://maps.google.com/maps/contrib/105176557661385826964"">Bledsoe Family Winery</a>']"
