Name,Hours,Street,Address,Phone
EIEIO & Company,"(By appointment on weekends, 12 - 5)",No Info,No Info,503-852-6733
Élevée (at Carlton Winemakers Studio),"(Daily, 11 am - 5 pm)",801 N Scott Street,"Carlton, OR 97111",503-852-6100
Elizabeth Chambers Cellars,(Open Daily: 12 - 5 pm),455 NE Irvine Street,"McMinnville, OR 97128",503-857-0781
Elk Cove Vineyards,(10 - 5 pm daily),27751 NW Olson Road,"Gaston, OR 97119",503-985-7760
Elkhorn Ridge Vineyards & Winery,No Info,Brateng Rd,"Monmouth, OR",208 720 3062
ElvenGlade Winery,(Call ahead for a visit.),3500 Bridgefarmer Road,"Gaston, OR 97119",503-662-9960
Emerson Vineyards,"(Saturdays Noon - 5, Memorial Day through Christmas or by appointment)",11665 Airlie Road,"Monmouth, OR 97361",503-838-0944
Eminent Domaine,(Not open to public at this time),20875 NE Ribbon Ridge Road,"Newberg, OR 97132",503-855-4505
Enso Winery and Tasting Lounge,"(Mon - Thurs, 4 - 10 pm; Fri, 4 - 11 pm; Sat, 1 - 11 pm; Sun, 1 - 10 pm)",1416 SE Stark Street,"Portland, OR 97214",503-683-3676
Eola Hills Wine Cellars,(Daily 11am to 5pm),501 South Pacific Highway 99W,"Rickreall, OR 97371",503-623-2405
Eola Hills Wine Cellars - Legacy Estate Vineyard,(Open Daily: 12 - 6 pm),1600 Oak Grove Road,"Salem, OR 97304",503-623-2405
Erath Winery,(11-5 daily. Closed on major holidays),9409 NE Worden Hill Road,"Dundee, OR 97115",800-539-9463
Et Fille Wines,"(Wed - Sun, 12 - 6 pm; Private seated tastings by appt)",718 East 1st Street,"Newberg, OR",503-538-2900
Eugene Wine Cellars,(Wed - Sat: 4 - 8 pm or by appointment),255 Madison Street,"Eugene, OR 97402",541-342-2600
Eugene Wine Cellars,(Daily: Noon to about 11 pm),2794 Shadow View Drive,"Eugene, OR",541-505-8909
Evening Land Vineyards,(Open Daily: 10 am - 5 pm),"1326 N Hwy 99, Suite 100","Dundee, OR 97115",503-538-4110
Evensong Winery,(Open by Appointment),981 Old Garden Valley Road,"Roseburg, OR",541-530-3551
Evesham Wood Winery,(By appointment only),3795 Wallace Road NW,"Salem, OR 97304",503-371-8478
The Eyrie Vineyards Winery,(Daily 12 - 5 pm),935 NE 10th,"McMinnville, OR 97128",503-472-6315
"Faith, Hope and Charity Vineyards","(Open Daily 12 - 5 pm, except during private events. Call first)",70450 NW Lower Valley Drive,"Terrebonne, OR 97760",541-526-5075
Fairsing Vineyard,(Daily 11 am - 5 pm),21455 NE Burkett Hill Road,Yamhill OR 97148,503-560-8266
Falk Estate,(Closed until further notice),361 Bramblewood Lane,"Canyonville, OR 97417",541-580-9951
Fausse Piste,(By appointment any time),"537 SE Ash Street, #102","Portland, OR 97214",971-258-5829
Ferraro Family Vineyards,"(Sat & Sun, 12 - 5 pm)",272 Capital Lane,"Roseburg, OR 97471",541-784-7275
Ferraro Cellar at Medici Vineyards Tasting Room,Open Thurs - Tues: 11 am - 6 pm),1505 Portland Road,"Newberg, OR 97132",503-538-2427
Fiasco Winery,"(Daily,11am - 5pm; Closed Tuesday)",8035 Highway 238,"Jacksonville, OR 97530",541-846-3022
Finnigan Hill Vineyard,(By appointment - 503-628-3085),18548 SW Finnigan Hill Road,"Hillsboro, OR 97123",503-628-3085
Firesteed Winery,"(Daily, 11 - 5 pm)",2200 N. Pacific Hwy (99W),"Rickreall, OR 97371",503-623-8683
Flâneur Wines,(By appointment only - 503-899-4120),258A North Kutch Street,"Carlton, OR 97111",503-899-4120
Fly High Vineyard,(By Appointment),7386 Hwy 238 PMB 132,"Jacksonville, OR 97530",541-707-2442
Flying Dutchman Winery,(June - Sept: 11 am to 6 pm; rest of the year 11 am to 5 pm; closed Christmas),915 First Street,"Otter Rock, OR 97369",541-765-2060
Folin Cellars,"(June - Sept: Daily, 12 - 5 pm; Other months: Fri - Sun, 12 - 5 pm)",9200 Ramsey Road,"Gold Hill, OR 97525",541-855-1838
Foon Estate Vineyard,(By Appointment: 541-817-7768),340 Busenbark Lane,"Roseburg, OR",541-817-7768
Foris Vineyards Winery,"(Daily, 11 - 5pm, except some major holidays)",654 Kendall Road,"Cave Junction, OR 97523",541-592-3752
Forest Edge Vineyard,"(Memorial Day Weekend to Thanksgiving Weekend: Sat & Sun, 12 - 5:00 pm; Dec - May, Sun 12 - 5 pm)",15640 S Spangler Road,"Oregon City, OR",503-632-9463
The Four Graces,(Daily 10 - 5 pm),9605 NE Fox Farm Road,"Dundee, OR 97115",503-554-8000
Fox Farm Vineyards,(Daily: 11 am - 7 pm),575 Oregon 99W,"Dundee, OR 97132",503-538-8466
Francis Tannahill Winery - Tastings at Rex Hill Vineyards,(Daily: 10 am - 5 pm),30835 N Hwy 99 W,"Newberg, OR 97132",503-554-1918
Freed Estate Vineyards,"(Wed - Sun, 11 am - 5 pm; or by appointment)",430 Hooten Road,"Winston, OR 97496",541-236-4993
Freja Cellars,(By appointment),16691 SW McFee Place,"Hillsboro, OR 97123",503-628-0337
Fullerton Wines - Tasting Room on Pettygrove,(Fri - Sun: 12 - 7 pm),1966 NW Pettygrove Street,"Portland, OR 97209",503-544-1378
Furioso Vineyards,"(Thurs - Mon, 11 am - 5 pm)",8415 NE Worden Hill Road,"Dundee, OR 97115",844-FURIOSO
Garden Vineyards,(May 1 – October 31: Sun - Wednesday. Noon – 5 pm. Thursday – Saturday Noon – 10 pm. November 1 - May 1: By appointment and special events),12960 Northwest Dick Road,"Hillsboro, OR 97124",503-547-9046
Garnier Vineyards at Mayerdale,(Weekends - Noon to 6:00 pm),8467 Highway 30 West,"Mosier, OR 97040",541-478-2200
Gersing Cellars,(Call for seasonal hours),2425 SE 35th Place,"Portland, OR 97214",503-208-2061
Ghost Hill Cellars,"(Weekends, Memorial Day - Labor Day, 11 am - 5 pm; Special Event Weekends or by appt with 24 hrs notice)",12220 NW Bayliss Road,"Carlton, OR 97111",503-852-7347 or Mike's cell at 503-550-0104
Gilstrap Brothers Vineyard & Winery,(Anytime - Please call first),69789 Antles Lane,"Cove, Oregon 97824",541-568-4646
Girardet Wine Cellars,"(Daily, 11 - 5)",895 Reston Road,"Winston, OR 97470",541-679-7252
Glaser Estate Winery,"(Sat & Sun, 11 am - 5 pm)",213 Independence Lane,"Roseburg, OR",503-936-2164
The Gorge White House,"(Columbia Gorge wines and beers tasting; Apr & May: 10-6 pm Fri-Mon, by appt Tu-Th; June - Sept: 10-6 pm DAILY; Oct: 10-6 pm Fri-Mon, by appt Tu-Th)",2265 Highway 35,"Hood River, OR 97031",541-386-2828
Grand Cru Estates,(Daily 12 pm - 4:30 pm by appt),17100 NE Woodland Loop Road,"Yamhill, OR 97148",503-662-4730
Gran Moraine,"(By appointment: 11 am, 1 pm OR 3 pm)",17090 NE Woodland Loop Road,"Yamhill, OR 97148",855-831-6631
Granville Wines,9305 Red Hills Road,P.O. Box 566,"Dundee, OR 97115",503-538-4161
Gresser Vineyard,(Holidays or by appointment and special events),37245 SW Nature Drive,"Cornelius, OR 97113",503-679-3497
Griffin Creek,Eden Valley Orchards - Tasting Room,2310 Voorhies Road,"Medford, OR",541-512-2955
Grizzly Peak Winery,"(May - Oct: Thur - Sun, 12 - 4 pm; Nov - Apr: Sat & Sun, 12 - 4 pm)",1600 E Nevada Street,"Ashland, OR",541-482-5700
Grochau Cellars,"(Fri - Sun, 1 pm - 5 pm)",9360 SE Eola Hills Road,"Amity, OR 97101",503-835-0208
Gypsy Dancer,(Thurs - Sun: 3 - 8 pm),143 Main Street,"Carlton, OR 97111",503-969-7199
Hamacher Wines at The Carlton Winemakers Studio,"(Daily, 11 — 5pm)",801 N Scott Street,"Carlton, OR 97111",503-852-6100
Hanson Vineyards,(Weekends Mar - Nov: 12 - 5 pm; Dec - Feb: by appointment),34948 S. Barlow Road,"Woodburn, OR 97071",971-338-9760
Harris Bridge Vineyard,"(June - Oct: Sat & Sun, Noon - 6pm & Memorial Day & Thanksgiving Weekends)",22937 Harris Road,"Philomath, OR 97370",541-929-3053
Hauer of the Dauen,(12 - 5 Sat - Sun; or by appointment),16425 SE Webfoot Road,"Dayton, OR 97114",503-868-7359
Hawkins Cellars,"(Thurs, Noon - 8 pm; Fri - Sun, 11 am - 5 pm; Hours change seasonally. Call ahead.)",990 Hwy 99W,"Dundee, OR 97115",503-554-9885
Hawks View Cellars,"(Sat - Sun, 11 am - 5 pm; Weekdays by appointment.)",20210 SW Conzelmann Rd,"Sherwood, OR 97140",503-625-1591
Hazelfern Cellars,(By appointment Fri - Sun - 503-928-1893),4008 NE Zimri Drive,"Newberg, OR 97132",503-928-1893
Heart Catcher,(No public tasting room),From the grapes of Volcano Ridge,Vineyard near The Dalles,509-592-0756
Helioterra Wines,-,-,(Tasting by appt only at Bjornson Vineyard),503-757-5881
Helvetia Vineyards,(Fri - Sun: Noon – 5 pm. Holidays & Special Events. And by apt),22485 NW Yungen Road,"Hillsboro, OR 97124",503-647-5169
Henry Estate Winery,"(Daily, 11 - 5, except major holidays)",687 Hubbard Creek Road,"Umpqua, OR 97486",541-459-5120
Heymann Whinery,"(Mon - Fri, 11–5:30, Sat, 10–6, Sun, 11–4. Call 1st for current hours.)",212 N Tower Avenue,"Centralia, WA 98531",360-623-1106
High Pass Winery,(Fri: 12 - 8 pm; Sat & Sun: 12 - 5 pm),24757 Lavell Road,"Junction City, OR 97448",541-998-1447
Hillcrest Vineyard,"(March thru Dec: Daily, 11 - 5)",240 Vineyard Lane,"Roseburg, OR 97470",541-673-3709
Hinman Vineyards/Silvan Ridge,"(Daily, Noon - 5pm)",27012 Briggs Hill Road,"Eugene, OR 97405",541-345-1945
Hip Chicks Do Wine,"(Daily, 11 - 6)",4510 SE 23rd Ave.,"Portland, OR 97202",503-234-3790
Hiyu Wine Farm,"(Fri - Sun, 11 am - 5 pm)",3890 Acree Drive,"Hood River, OR",541-436-4680
Holloran Vineyard Wines,(By appointment),2636 SW Shaeffer Rd.,"West Linn, OR 97321",503-638-3676
Honeywood Winery,"(9 - 5 pm, Mon - Fri; 10 - 5pm, Sat; 1 - 5 pm Sun)",1350 Hines Street SE,"Salem, OR 97302",503-362-4111
Hood Crest Winery,"(Wed - Sun, 11 am - 6 pm through Thanksgiving; Fri - Sun, 11 am - 6 pm through Christmas; Closed Christmas to Valentine's weekend)",1908 Orchard Road,"Hood River, OR 97031",541-386-4841
Hood River Vineyards & Winery,(Daily - 11 am - 5 pm),4693 Westwood Drive,"Hood River, OR 97031",541-386-3772
Houston Vineyards,(call ahead to arrange for a wine tasting),86187 Hoya Lane,"Eugene, OR 97405-8633",541-747-4681
HV Cellars,"(Thurs - Sun, 11 am - 5 pm)",304 NW Main Street,"Winston, OR 97496",541-294-8577
Hyland Estates,(Daily 11 - 5 pm),20980 NE Niederberger Road,"Dundee, OR",503-554-4200
Idylwood Wines,(Open by appointment),11517 SE Hwy 212,"Clackamas, OR 98015",503-657-6055
Illahe Vineyards,(By appointment - 503-831-1248),3275 Ballard Road,"Dallas, OR",503-831-1248
Iota Cellars,(Occasionally By Appointment),7895 SE Amity Road,"Amity, OR 97101",503-507-8063
Iris Vineyards Tasting Room,"(Thurs, 12 - 5 pm; Fri - Sun, 12 - 6 pm)",82110 Territorial Highway,"Eugene, OR 97405",541-242-6588
Ironbird Vineyard,-,1455 Kubli Rd.,"Grants Pass, OR 97527",503-231-5094
Irvine & Roberts Vineyards,"(Summer Hours: Open Daily: 11 am - 6 pm; Winter Hours: Wed - Sun, 12 - 6 pm)",1614 Emigrant Creek Road,"Ashland, OR 97520",541-482-9383
J Albin Winery,(Open by appointment),19495 Vista Hill,"Hillsboro, OR 97123",503-628-2986
J.A. Vineyards,(By Appointment only and,for special events),19495 Vista Hill Drive,"Hillsboro, OR 97123"
J Christopher Wines,(Open by appointment - 503-554-9572),2636 SW Schaeffer Road,"West Linn, OR",503-231-5094
J Daan Wine Cellars,(By Appointment at Laurel Ridge Winery),13301 NE Kuehne Rd,"Portland, OR 97218",503-807-4435
J.L. Kiff Vineyard,"(Feb & Apr - Oct: Sat & Sun, 12 - 5 pm; By appt all year - call 971-237-6745)",13546 NW Willis Road,"McMinnville, OR 97128",971-237-6745
J. Scott Cellars,"(Fri, 4 pm - 9 pm; Sat, 1 - 9 pm)",520 Commercial Street,"Eugene, OR 97402",541-357-5279
J Scott Cellars,(Fri & Sat evenings),560 Commercial Street,"Eugene, OR",541-514-5497
J K Carriere,"(Mar - Dec: Fri - Sat, 11 - 4 pm; Otherwise by appointment)",9995 NE Parrett Mtn Road,"Newberg, OR 97132",503-554-0721
J Wrigley Vineyard,"(April - November: Thur - Mon, 11 to 5 pm)",19390 SW Cherry Hill Road,"Sheridan, OR 97378",503-857-8287
Jacksonville Vineyards,(Call Ahead - 541-899-6923),9730 Hwy 238,"Jacksonville, OR",541-899-6923
James Rahn Wine Company At Southeast Wine Collective & Wine Bar,(Call for seasonal hours),2425 SE 35th Place,"Portland, OR 97215",773-517-4008
Jan-Marc Wine Cellars,(By Appointment only.),1225 N Killingsworth Street,"Portland, OR 97217",503-341-4531
Jaxon Vineyards,(By appointment at the vineyard),5709 Hughes Road,"Medford, OR 97504",541-512-1514
Johan Vineyards,"(Feb 1 - Dec 23: Daily, 11 am - 5 pm)",4285 N Pacific Hwy,"Rickreall, OR 97371",866-379-6029 Toll Free
John Michael Champagne Cellars,"(Fri thru Sun, 11 am to 5 pm)",1425 Humbug Creek Road,"Jacksonville, OR",541-846-6400
K & M Wines,(By Appointment - 503-625-3236 & Holiday Weekends),128 W Main Street,"Carlton, OR 97111",503-625-3236
Kathken Vineyards,(Memorial Day to Labor Day: 12 - 5 pm Sat & Sun),5739 Orchard Heights Road NW,"Salem, OR 97304",503-316-3911
Keeler Estate Vineyard,"(Thurs - Sun, 11 am - 5 pm; Tues & Wed, by appt - 503-550-0308)",5100 SE Rice Lane,"Amity, OR 97101",503-550-0308
Ken Wright Cellars - Carlton Tasting Room,(Daily: 11 am - 5 pm),120 N Pine,"Carlton, OR 97111",503-852-7010
King Estate Winery,"(Daily, Noon - 5pm)",80854 Territorial Road,"Eugene, OR 97405",541-942-9874
King's Raven Winery,(Fri - Sun: 12 - 5 pm),11603 S New Era Road,"Oregon City, OR 97045",503-505-6873
Kramer Vineyards,"(Daily April thru Oct, 11 am –5 pm; Nov thru Mar, Thurs-Sun, 11 am - 5 pm)",26830 NW Olson Road,"Gaston, OR 97119",503-662-4545
Kramer Vineyards - Carlton Tasting Room,(Thurs - Mon: 11 am - 5 pm),258 Kutch Street,"Carlton, OR 97111",503-852-3045
Kriselle Cellars,"(Daily, 11 am - 5:30 pm; Extended hours on Thurs & Fri, June thru Sept, 11 am - 7:30 pm)",12956 Modoc Road,"White City, OR 97503",541-830-VINO (8466)
Kristin Hill Winery,(Mar - Dec: 12 - 5 pm Daily; Jan - Feb: Sat & Sun; or by chance),3330 SE Amity-Dayton Hwy,"Amity, OR 97101",503-835-0850
L'Angolo Estate,(By private appointment only),18830 NE Williamson Road,"Newberg, OR 97132",503-538-7953
Labor Wines,-,"818 SW 3rd Avenue, #133","Portland, OR 97204",1-855-503-9463
LaBrasseur Vineyard,"(Mar - Dec: Fri, Sat, Sun - 11 am to 5 pm)",2444 Cobleigh Road,Eagle Point OR,541-865-3648
Lachini Estate Vineyards,"(Sat & Sun, 12 - 4:30 pm; Mon - Fri by appointment. Closed for Winter)",18225 Calkins Lane,"Newberg, OR 97132",503-864-4553
Lachini Winery & Tasting Room,(Thurs - Sat: 2 - 9 pm; Sun: 12 - 5:30; Otherwise by appt),19930 SW 112the Avenue,"Tualatin, OR 97062",888-703-0007
Lachini Woodinville Tasting Room,"(Thurs, 12 - 6 pm; Fri & Sat, 11:30 am - 8:30 pm; Sun, 11:30 am - 6 pm; Mon, 12 - 5:30 pm)",14455A Woodinville Redmond Road,"Woodinville, WA 98072",425-489-9917
Lady Hill Winery,(Daily: 11 am - 5 pm),8400 Champoeg Road,"St. Paul, OR 97137",503-678-1240
Laelaps Wines,(Call for seasonal hours),2425 SE 35th Place,"Portland, OR 97214",503-957-4273
Lange Estate Winery,(Daily 11 am - 5 pm),18380 NE Buena Vista,"Dundee, OR 97115",503-538-6476
Laura Volkman Cellars At August Cellars,(By appointment Mon - Sat: 10 am to 2 pm),14000 NE Quarry Road,"Newberg, OR",503-806-4047
Laurel Ridge Winery,"(Mon - Fri, Noon to 5 pm; Sat & Sun, 11 am to 5 pm)",13301 NE Kuehne Road,"Carlton, OR 97111",503-852-7050
LaVelle Vineyards,"(Daily, Noon - 5pm)",89697 Sheffler Road,"Elmira, OR 97437",541-935-9406
Lavinea (at Carlton Winemakers Studio),"(Daily, 11 am - 5 pm)",801 N Scott Street,"Carlton, OR 97111",503-852-6100
Lazy River Vineyard,"(Daily, 11am - 5 pm",801 N Scott Street,"Carlton, OR 97111",503-852-6100
Le Cadeau Vineyard,"(Daily: Mon - Sat, 11 - 5:30; Sun 1 - 5:30)",1326 Oregon 99W,"Dundee, OR 97115",503-625-2777
Ledger David Cellars,"(Daily, Noon - 5 pm; Extended Hours every Fri with live music 5:30 - 7:30 pm)",245 N Front Street,"Central Point, OR",541-665-2218
Left Coast Cellars,(Daily: 11 am - 5 pm),4225 N Pacific Highway (99W),"Rickreall, OR 97371",503-831-4916
Lemelson Vineyards,"(Thurs - Mon, 11 am - 4 pm)",12020 NE Stag Hollow Road,"Carlton, OR 97111",503-852-6619 x104
Lenné Estate,"(Nov - May: Sat & Sun, Noon - 5 pm; May - Oct: Thurs - Sun, Noon to 5pm)",18760 NE Laughlin Road,"Yamhill, OR 97148",503-956-2256
Libra Wines,(Memorial Day & Thanksgiving Weekends; or by Appointment),11799 NE Finn Hill Loop,"Carlton, OR 97111",503-313-1775
Longplay Wine,"(Fri & Sat, 11 am - 5 pm)",215 E First Street,"Newberg, OR",503-489-8466
LongSword Vineyard,"(Year Round, Mon - Sun: 12 - 5 pm)",8555 Hwy 238,"Jacksonville, Oregon 97530",541-899-1746
Luminous Hills / Seven of Hearts,"(Thurs - Mon: 11 am to 5 pm, or by appointment)",217 West Main Street,"Carlton, OR 97111",503-852-0097
Lumos Wine Company,(Sat - Sun: 1 - 6 pm - Apr - Nov),24000 Cardwell Hill Drive,"Philomath, OR 97370",541-929-3519
Madrone Mountain Vineyard & Winery,Tastings at Red Lily Vineyards,540 Tumbleweed Trail,"Jacksonville, OR 97530",541-899-9642
Mad Violets,(By Appointment),17429 NE Hillside Drive,"Newberg, OR 97132",541-508-8827
Maragas Winery,(Tues - Sun: 11 am to 5 pm),15523 SE Hwy 97,"Culver, OR 97734",541-546-5464
Marchesi Vineyards,"(Summer - May 15 - Oct 31: Daily, 11 am - 6 pm; Fall & Winter: Fri - Sun, 11 am - 6 pm; Always by appt - 541-386-1800)",3955 Belmont Drive,"Hood River, OR 97031",541-386-1800
Maresh Red Barn,"(Mar - Dec, Wed - Sun: 11 am - 5 pm)",9325 NE Worden Hill Road,"Dundee, OR 97115",503-537-1098
Marks Ridge Winery,"(Sat & Sun, 11 am - 5 pm or by appointment)",29255 Berlin Road,"Sweet Home, OR 97386",541-974-4450
Marshall Davis at the Horse Radish Restaurant,"(Mon - Thurs, 12 - 3 pm; Fri & Sat, 12 - 10 pm)",211 W Main Street,"Carlton, OR 97111",503-852-6656
MarshAnne Landing,"(May - Oct: Wed - Sun, 11 am - 5 pm; Nov - Dec: Weekends, 11 am - 5 pm; Other times by appointment)",381 Hogan Rd,"Oakland, OR",541-459-8497
Matello Wines,(By Appointment - 503-939-1308),925 NE 7th St.,"McMinnville, OR 97128",503-939-1308
Maysara Estate,(Noon - 5 pm Tuesday - Saturday; Closed Sunday),15765 SW Muddy Valley Road,"McMinnville, OR 97128",503-843-1234
McKinlay Vineyard,(Not open to public),7120 Earlwood Road,"Newberg, OR 97132",503-625-2534
Medici Vineyards Tasting Room,Open Thurs - Tues: 11 am - 6 pm),1505 Portland Road,"Newberg, OR 97132",503-538-2427
Megan Anne Cellars - (at Carlton Winemakers Studio),"(Daily, 11 am - 5 pm)",801 N Scott Street,"Carlton, OR 97111",503-852-6100
Mekinzie Ridge Winery,(Not open to public),4733 NE 103rd Avenue,"Portland, OR, 97220",503-936-0042
Melrose Vineyards,"(Daily, 11 am - 5 pm)",885 Melqua Road,"Roseburg, OR 97470",541-672-6080
Merriman Wines - (Carlton Winemakers Studio),"(Daily, 11 — 5pm)",801 N Scott Street,"Carlton, OR 97111",503-852-6100
Methven Family Vineyards,"(Fri - Sun, 11 am - 5 pm)",10830 Westland Lane,Dayton 97114,503-975-9153
Methven Family Vineyards - Dundee Tasting Room,"(Daily, Noon - 8 pm)",130 SW 7th Street,"Dundee, OR 97115",971-832-8665
Mia Sonatina Cellars,"(Fri - Sun, 11 am - 5 pm or by appointment)",102 Nursery Street / 6th Street,"Amity, OR 97101",503-449-0834
Misty Oaks Vineyard,"(March - December: Wed - Sun, 11 am - 5 pm & by appt.)",1310 Misty Oaks Lane,"Oakland, OR 97462",541-459-3558
Momokawa Sake Brewery,(Daily Noon - 5 pm),820 Elm Street,"Forest Grove, OR 97116",503-357-7056
Monks Gate Vineyard & Wines,"(Thurs - Mon, 12 - 5 pm, or by appointment)",9500 NE Oak Springs Farm Road,"Carlton, OR 97111",503-852-6521
Montebruno Wine Company,(Call for info - 917-972-5618),21080 N Hwy 99W,"Dundee, OR 97115",917-972-5618
Monte Ferro,"(Open to Club Members & their guests most Saturdays, 10 am - 5 pm or by appt)",2240 Prestwick Road,"Lake Oswego, OR 97034",503-803-9180
Montinore Estate Vineyards,"(Daily, 11 am - 5pm)",3663 SW Dilley Road,"Forest Grove, OR 97116",503-359-5012
Mt Hood Winery,(Daily Mar - Nov: 11 am - 5 pm),2882 Van Horn Drive,"Hood River, OR",541-386-8333
Mustard Seed Cellars,"(11 am - 5 pm, Thurs - Sun)",1645 Brozio Road,"Roseburg, OR",541-900-0564
Mylan Wines,(Fri - Sun: 12 - 7 pm),"111 2nd Street, Suite #300","Hood River, OR 97310",541-819-0687
Mystic Mountain Vineyards,(Not open to public),22470 SW Bennette Road,"McMinnville, OR 97128",503-434-9025
Mystic Wines Tasting Room,(May- October: Weekends Noon - 5 pm & Holiday Events),11931 Hood View Road,"Amity, OR",503-581-2769
Mystic Wines Winery,-,3995 Deepwood Lane NW,"Salem, OR 97304",-
Naked Winery,"(Sunday-Thursday Noon - 7 pm, Friday/Saturday Noon - 9pm)",102 2nd Street,"Hood River, OR 97031",541-386-3700
Naked Winery,(Mon - Sat: 11 am - 8 pm; Sun: 11 am - 6 pm),330 SW Powerhouse Drive #110,"Bend, OR 97702",541-386-3700 ext 17
Naked Winery - McMinnville Tasting Room,(Sun - Thurs: 12 - 6 pm; Fri & Sat: 12 - 7 pm),211 NE 3rd Street,"McMinnville, OR",541-386-3700
Namasté Vineyards,(March-December weekends Noon - 6 pm; or by appointment),5600 Van Well Road,"Dallas, OR 97338",503-623-4150
Natalie's Estate Winery,(By appointment only),16825 NE Chehalem Drive,"Newberg, OR 97132",503-554-9350
Nehalem Bay Wine Co.,(Open Daily: 9 - 6),34965 Hwy 53,"Nehalem, OR 97131",503-368-9463
Nicolas-Jay,1002-A N Springbrook Road,Suite 115,"Newberg, OR 97132",503-537-5027
Nicolas Rolin Winery,-,2234 NE 50th,"Portland, OR 97213",503-282-7542
Noble Estate Vineyard,"(Daily, noon - 5 pm)",29210 Gimpl Hill Rd,"Eugene, OR 97402",541-338-3007
Noble Estate,(Fri & Sat nights 4 - 10),"560 Commercial St, Ste F","Eugene, OR 97402",541-338-3007
Noble Estate Vineyard,(Open Weekends),146 SW Bay Blvd,"Newport, OR 97365",541-272-5222
Noble Pig Vineyard & Winery - Carlton Tasting Room,(Thurs-Mon 12-5 PM),203 Main Street,"Carlton, OR 97111",503-852-3038
Nuthatch Cellars,(By appointment),8792 NW Chaparral Drive,"Corvallis, OR 97330",541-754-8483
Nysa Vineyard,-,18651 NE Trunk Road,"Dundee, OR 97115",503-538-3604
Oak Grove Orchards Winery,-,6090 Crowley Road,"Rickreall, OR 97371",503-364-7052
Oak Knoll Winery,"(October – May: Mon - Sun: 11 am – 5 pm. June – September: Mon - Fri 11 am – 6 pm, Sat- Sun 11 am – 5 pm)",29700 SW Burkhalter Road,"Hillsboro, OR 97123",503-648-8198
Omero Cellars,"(Daily, 12 - 5 pm)",213 North Yamhill Street,Carlton OR 97111,971-258-2667
Orchard Heights Winery,(Mon - Sat: 11 am - 5 pm; Sun: 9 am - 5 pm),6057 Orchard Heights Road NW,"Salem, OR 97304",503-391-7308
Ore Winery,(Call for seasonal hours),2425 SE 35th Place,"Portland, OR 97215",503-473-4055
Oregon Wine Lab,"(Pouring Local Artisan Wines daily: Mon - Thurs & Sat, 12 - 8 pm; Fri, 12 - 10 pm; Sun, 12 - 6 pm)",488 Lincoln Street,"Eugene, OR",458-201-7413
Oswego Hills Winery,(Sundays: Noon - 5 pm),450 S Rosemont Road,"West Linn, OR 97068",503-655-2599
Owen Roe Tasting Room,"(11 am - 4 pm, Tues - Sat; Closed Sun & Mon)",2761 E 9th Street,"Newberg, OR 97132",503-678-6514
Pampleau At Southeast Wine Collective & Wine Bar,(Call for seasonal hours),2425 SE 35th Place,"Portland, OR 97214",503-208-2061
Panther Creek Cellars,(Daily 10 am to 5 pm),110 SW Hwy 99W,"Dundee, OR 97115",503-472-8080
Paschal Winery,"(Jan - Apr: Wed - Mon, noon - 6 pm, Apr - Dec: Daily, 11 - 6 pm)",1122 Suncrest Road,"Talent, OR 97540",541-535-7957
Patricia Green Cellars,"(Tastings by appointment Mon - Sat at 11 am, 1 pm & 3 pm)",15225 NE North Valley Road,"Newberg, OR 97132",503-554-0821
Patton Valley Vineyards,"(Thurs - Sun, 11 am to 5 pm)",9449 SW Old Highway 47,"Gaston, OR 97119",503-985-3445
Paul O'Brien Winery,"(Daily, 11 am - 5 pm)",609 SE Pine Street,"Roseburg, OR",541-673-2280
Pebblestone Cellars,(May 1 - Oct 31: Thur - Mon noon - 5 pm; Nov - April: noon - 5 pm),1642 Camp Baker Road,"Medford, OR 97501",541-512-1655
Penner-Ash Wine Cellar,(Daily: 11 am - 5 pm),15771 Ribbon Ridge Road,"Newberg, OR 97132",503-554-5545
Pete's Mountain Vineyard & Winery,(Sundays 12 - 5 pm; Otherwise by appt - 503-656-2130),28101 SW Petes Mountain Road,"West Linn, OR 97068",503-656-2130
Pfeiffer Winery,"(Open 7 days a week: Mon - Thurs, 11 am to 5 pm Fri - Sun, 11 am -6 pm)",25040 Jaeg Road,"Junction City, OR",541-998-2828
Pheasant Court Winery,(By appointment),1731 Pheasant Court,"Philomath, OR 97370",541-740-5832
Tasting Room at The Wine Vault,(Sat & Sun: Noon to 6 pm),1301 Main Street,"Philomath, OR",541-929-8496
Pheasant Run,(Fri: 12 - 6 pm; Sat & Sun: 12 - 5 pm; Otherwise by appointment),21690 Main Street NE,"Aurora, OR 97002",503-678-3131
Pheasant Valley Vineyard & Winery,(Daily - 11:00 to 6:00 p.m.),7890 Acree Drive,"Hood River, Oregon",541-386-2803
Phelps Creek Vineyards,"(May to October: Thurs - Mon, 11 to 5 pm; Mar, Apr & Nov: Fri - Sun, 11 to 5 pm; Otherwise by appointment)",1850 Country Club Road,"Hood River, OR",541-386-2607
Phelps Creek Vineyards & Winery,Tours & Tastings by reservation,"Hood River, OR",0,541-386-2607
Pike Road Wines,(Daily: 12 - 6 pm),105 W Main Street,"Carlton, OR 97111",503-852-3185
Piluso Vineyard & Winery,"(Open Weekends May - Oct, Memorial Day Weekend, Thanksgiving Weekend, & 2nd Saturdays: 11 am - 5pm)",6654 Shaw Hwy SE,"Aumsville, OR 97325",503-749-4125
